":@computed_region_bh64_c7uy",":@computed_region_wvic_k925","adre_a","cp","denominaci","email","etrs89_x","etrs89_y","geocoded_column","geocoded_column_address","geocoded_column_city","geocoded_column_state","geocoded_column_zip","latitud","longitud","municipi","tel_fon","tipologia"
"132","12","Carrer Domínics,12","25280","Consell Comarcal del Solsonès","consell@elsolsones.cat","377358.52","4650335.93","POINT (1.519259992 41.995490012)",,,,,"41.995490012","1.519259992","Solsona","973 482 003 - 973 483 234","Comarcal"
"875","21","Avinguda del Segre,5","25007","SAI Lleida (Departamental)","rcairol@gencat.cat","302627.23","4609909.83","POINT (0.631029694 41.616509126)",,,,,"41.616509126","0.631029694","Lleida","973 703 679","Departamental"
"937","26","Casa Mónaco.Avinguda de Gràcia,50","8172","SAI Sant Cugat del Vallès (local)","sailgbti@santcugat.cat","423629.85","4590913.18","POINT (2.085459949 41.46617999)",,,,,"41.466179990","2.085459949","Sant Cugat del Vallès","93 565 70 00","Local"
"460","33","Plaça Constitució,5","43820","SAI de Calafell (local)","spedret@calafell.org","380055.69","4562111.19","POINT (1.569470006 41.201490045)",,,,,"41.201490045","1.569470006","Calafell","977 699 009 Ext. 773","Local"
"412","34","Plaça de la Vila,8","8800","SAI Vilanova i la Geltrú (local)","equitat@vilanova.cat","393212.02","4564416.27","POINT (1.725938303 41.224090908)",,,,,"41.224090908","1.725938303","Vilanova i la Geltrú","93814 00 00 Ext. 3283","Local"
"830","31","Carrer Àngel Guimerà,34","8950","SAI Esplugues de Llobregat (local)","servei.lgbti@esplugues.cat","423480.51","4581048.47","POINT (2.084919987 41.377319994)",,,,,"41.377319994","2.084919987","Esplugues de Llobregat","900 300 082","Local"
"230","37","Plaça Imperial Tarraco,1","43005","SAI Tarragona (local)","sai@tarragona.cat","352768.51","4553480.57","POINT (1.246232109 41.119280643)",,,,,"41.119280643","1.246232109","Tarragona",,"Local"
"227","41","Sant Roc, 8-14","43870","SAI d'Amposta (local)","gferre@amposta.cat","295677.19","4509691.20","POINT (0.58109995 40.712810023)",,,,,"40.712810023","0.581099950","Amposta","977 702 456","Local"
"496","31","Carrer Ebre,27","8830","SAI Sant Boi de Llobregat (local)","lgtb@santboi.cat","419547.62","4577833.38","POINT (2.038320046 41.347980022)",,,,,"41.347980022","2.038320046","Sant Boi de Llobregat","93 635 12 00  Ext. 156 - 436 - 409","Local"
"852","16","Plaça Salvador Espriu. Centre Cívic de Vilartagues","17220","SAI Sant Feliu de Guíxols (local)","lgbti@guixols.cat","502038.12","4626677.38","POINT (3.024529997 41.791949979)",,,,,"41.791949979","3.024529997","Sant Feliu de Guíxols","972 82 01 01","Local"
"108","13","Carrer Enric Prat de la Riba,17","8570","SAI Torelló (local)","saitorello@ajtorello.cat","439170.90","4655439.37","POINT (2.264947305 42.04865201)",,,,,"42.048652010","2.264947305","Torelló","93 859 42 72 - 93 859 36 12","Local"
"28","16","Carrer dels Tarongers,12","17100","Consell Comarcal del Baix Empordà","sai@baixemporda.cat","503250.21","4645182.61","POINT (3.039219992 41.95861999)",,,,,"41.958619990","3.039219992","La Bisbal d'Empordà","972 642 310 - 972 645 543","Comarcal"
"877","18","Carrer Muralla de St. Domènec,24","8241","Consell Comarcal del Bages","sai@ccbages.cat","402003.94","4619874.69","POINT (1.821800017 41.724639959)",,,,,"41.724639959","1.821800017","Manresa","93 693 03 63","Comarcal"
"862","26","Edifici Glòries. Carretera de Montcada,596","8223","SAI Terrassa (local)","atencioLGTBIQ@terrassa.cat","418956.29","4601245.97","POINT (2.028110059 41.55877999)",,,,,"41.558779990","2.028110059","Terrassa","93 731 59 82 - 93 739 70 00 Ext. 3680 i 3639","Local"
"230","37","Carrer Les Coques,3","43003","Consell Comarcal del Tarragonès","siad@tarragones.cat","353810.52","4553432.94","POINT (1.25865 41.11904)",,,,,"41.11904","1.25865","Tarragona","977 244 500","Comarcal"
"348","4","Carrer Alfons I,50-52","17520","Consell Comarcal de la Cerdanya. Servei d'Atenció Integral per a persones LGBTI","siad@cerdanya.org","411932.46","4698507.61","POINT (1.929310016 42.433889969)",,,,,"42.433889969","1.929310016","Puigcerdà","972 141 313","Comarcal"
"503","31","Plaça de l'Agricultura,4","8820","SAI El Prat de Llobregat (local)","siad@elprat.cat","424119.43","4575208.23","POINT (2.093289956 41.324780042)",,,,,"41.324780042","2.093289956","El Prat de Llobregat","93 379 00 50 Ext.5600","Local"
"543","23","Carrer Prat de la Riba,1","25230","Consell Comarcal del Pla d'Urgell","mateu@plaurgell.cat","324608.64","4611036.09","POINT (0.89435 41.63178)",,,,,"41.63178","0.89435","Mollerussa","973 711 313","Comarcal"
"912","13","Carrer de la Llotja,1","8500","Consell Comarcal Osona","siadosona@ccosona.cat","437552.62","4641868.74","POINT (2.246835724 41.92630928)",,,,,"41.926309280","2.246835724","Vic","93 702 72 84","Comarcal"
"73","8","Carrer Barcelona,49","8600","Consell Comarcal del Berguedà","nmariano@ccbergueda.cat","404664.02","4661432.38","POINT (1.847060027 42.099189965)",,,,,"42.099189965","1.847060027","Berga","93 821 35 53","Comarcal"
"334","2","Carrer del Mig,9","25560","Servei d'Atenció Integral del Pallars Sobirà (comarcal)","sai@pallarssobira.cat","346151.55","4697189.61","POINT (1.130249965 42.411769959)",,,,,"42.411769959","1.130249965","Sort","973620107","Comarcal"
"685","15","Passeig Àngel Guimerà,28","25600","Consell Comarcal de la Noguera","sai@ccnoguera.cat","317553.08","4628324.65","POINT (0.804412657 41.785803594)",,,,,"41.785803594","0.804412657","Balaguer","973 448 933","Comarcal"
"801","31","Parc Torreblanca,s/n","8980","Consell Comarcal del Baix Llobregat","sai@elbaixllobregat.cat","421113.05","4581291.48","POINT (2.056580042 41.379280039)",,,,,"41.379280039","2.056580042","Sant Feliu de Llobregat","93 685 24 00","Comarcal"
"500","30","Carretera del Pla,37","43800","SAI Valls (local)","mgutierrez@valls.cat","354101.45","4573186.67","POINT (1.257399965 41.296949986)",,,,,"41.296949986","1.257399965","Valls","977 614 040","Local"
"387","5","Centre Cívic El Passeig. Plaça Soldevila","27500","Consell Comarcal de l'Alt Urgell","igualtat@capau.cat","373257.62","4690360.70","POINT (1.461049979 42.35518997)",,,,,"42.355189970","1.461049979","La Seu d'Urgell","973 354 102","Comarcal"
"940","32","Carrer Hermenegild Clascar,1-3","8720","Consell Comarcal de l'Alt Penedès","igualtat@ccapenedes.cat","390912.72","4577996.46","POINT (1.696080008 41.34608)",,,,,"41.346080000","1.696080008","Vilafranca del Penedès","93 890 00 00","Comarcal"
"133","14","Plaça de Pompeu Fabra,1","17002","SAI Girona (Departamental)","jbosch@gencat.cat","485271.27","4647689.86","POINT (2.822207288 41.981071059)",,,,,"41.981071059","2.822207288","Girona","872 975 958","Departamental"
"660","26","Carrer de Vidal,146","8208","SAI Sabadell (local)","genere@ajsabadell.cat","425983.92","4600648.45","POINT (2.112450038 41.554079961)",,,,,"41.554079961","2.112450038","Sabadell","93 724 61 67 - 93 724 61 68","Local"
"300","3","Carrer Aigüestortes,10","25520","Consell Comarcal de l'Alta Ribagorça","sai@ccar.ddl.net","314108.74","4698044.21","POINT (0.740820006 42.41244998)",,,,,"42.412449980","0.740820006","El Pont de Suert","973 691 264","Comarcal"
"880","17","Plaça Constitució,5","25300","SAI Tàrrega (local)","ajuntament@tarrega.cat","345031.02","4612182.54","POINT (1.139099949 41.646330015)",,,,,"41.646330015","1.139099949","Tàrrega","973 311 608 - 973 502 670","Local"
"230","37","Avinguda d'Andorra,7bis local 3","43002","SAI Tarragona (Departamental)","sai@tarragona.cat","352646.78","4553650.00","POINT (1.244742126 41.120784081)",,,,,"41.120784081","1.244742126","Tarragona","977 241 935","Departamental"
"588","16","Carrer de Pals,77","17200","SAI Palafrugell (local)","espaidona@palafrugell.cat","513466.22","4641012.21","POINT (3.162400038 41.920950047)",,,,,"41.920950047","3.162400038","Palafrugell","972 611 879","Local"
"456","33","Carrer Andreu Nin, 1-3","43700","Consell Comarcal del Baix Penedès","igualtat.diversitat@baixpenedes.cat","377181.97","4564484.41","POINT (1.53473 41.22243)",,,,,"41.22243","1.53473","El Vendrell","977 157 177","Comarcal"
"877","18","Carrer de la Canal,6","8241","SAI Manresa (local)","sai@ajmanresa.cat","402313.03","4619847.15","POINT (1.825519948 41.724429995)",,,,,"41.724429995","1.825519948","Manresa","93 875 23 10","Local"
"760","20","Plaça Argentina,5","17300","SAI de Blanes (local)","ltejada@blanes.cat","482043.57","4612894.89","POINT (2.784299986 41.667610034)",,,,,"41.667610034","2.784299986","Blanes","972 336 207","Local"
"875","21","Avinguda Tortosa,2","25005","SAI Lleida (local)","dretscivils@paeria.es","303105.07","4610184.61","POINT (0.63667 41.6191)",,,,,"41.61910","0.63667","Lleida","973 700 457","Local"
"634","20","Carrer del Prat,1","17430","Consell Comarcal de la Selva","sai@selva.cat","472013.04","4634783.63","POINT (2.66277999 41.864470024)",,,,,"41.864470024","2.662779990","Santa Coloma de Farners","872 973 003","Comarcal"
"362","7","Carrer del Progrés,22","17500","Consell Comarcal del Ripollès","lgtb@ripolles.cat","433494.67","4672048.81","POINT (2.194469978 42.197769995)",,,,,"42.197769995","2.194469978","Ripoll","972 715 839","Comarcal"
"940","32","Plaça Penedès,3","8720","SAI Vilafranca del Penedès (local)","emillas@vilafranca.org","391176.34","4577754.77","POINT (1.699273634 41.343939163)",,,,,"41.343939163","1.699273634","Vilafranca del Penedès","93 892 03 58 Ext. 3283","Local"
"807","27","Av. Francesc Macià,54","25400","Consell Comarcal de Les Garrigues","siad@garrigues.cat","322816.16","4597906.20","POINT (0.876720036 41.513200033)",,,,,"41.513200033","0.876720036","Les Borges Blanques","973 142 658. Ext. 217","Comarcal"
"57","11","Carrer Pere Alsius,12","17820","Consell Comarcal del Pla de l'Estany","sai@plaestany.cat","480516.16","4662669.25","POINT (2.764309961 42.115879967)",,,,,"42.115879967","2.764309961","Banyoles","972 58 03 88","Comarcal"
"211","40","Carrer Enric Bayerri,2-4","43500","SAI Tortosa (local)","bso.tortosa@tortosa.cat","290902.26","4520700.76","POINT (0.520940023 40.810700008)",,,,,"40.810700008","0.520940023","Tortosa","977 585 810","Local"
"205","38","Carrer Povet de la Plana,4","43780","Consell Comarcal de la Terra Alta","sai@terra-alta.cat","285094.89","4547628.07","POINT (0.442819994 41.051529973)",,,,,"41.051529973","0.442819994","Gandesa","977 421 659","Comarcal"
