":@computed_region_bh64_c7uy",":@computed_region_wvic_k925","adre_a","cerca","codi_postal","comarca","correu_electr_nic","geocoded_column","geocoded_column_address","geocoded_column_city","geocoded_column_state","geocoded_column_zip","latitud","longitud","nom_del_centre","poblaci","tel_fon","tipus_de_via","titularitat"
"348","4","Bassa d'en Gaire, 1","Terra Alta","43780","Terra Alta","siad@terra-alta.org","POINT (1.92884 42.43243)",,,,,"42.43243","1.92884","Servei d'informació i atenció a les dones (SIAD) de la Terra Alta","Gandesa","977420018","Carrer","Consell Comarcal de la Terra Alta"
"519","37","Muralla, 16, baixos","Tarragonès","43830","Tarragonès","siad@torredembarra.cat","POINT (1.3963 41.1444)",,,,,"41.1444","1.3963","Servei d'informació i atenció a les dones (SIAD) de Torredembarra","Torredembarra","977640025","Carrer","Ajuntament de Torredembarra"
"387","5","de Soldevila, 1, 1a (Centre Cívic del Passeig)","Alt Urgell","25700","Alt Urgell","igualtat@capau.cat","POINT (1.46148 42.35821)",,,,,"42.35821","1.46148","Servei d'informació i atenció a les dones (SIAD) de l'Alt Urgell","La Seu d'Urgell","973354102","Plaça","Consell Comarcal de l'Alt Urgell"
"730","20","Major, 2","Selva","17401","Selva","siod@ajarbucies.cat","POINT (2.51385 41.8161)",,,,,"41.8161","2.51385","Servei d'Informació i Orientació a les Dones (SIOD) d’Arbúcies","Arbúcies","972860001","Carrer","Ajuntament d'Arbúcies"
"363","6","de l'Àngel, 4","Alt Empordà","17480","Alt Empordà","benestar@roses.cat","POINT (3.17819 42.26318)",,,,,"42.26318","3.17819","Servei d'informació i atenció a les dones (SIAD) de Roses","Roses","972252400","Plaça","Ajuntament de Roses"
"211","40","de Montcada, 23 (Palau Abària)","Montsià","43500","Baix Ebre","icd.terresebre@gencat.cat","POINT (0.523474 40.813047)",,,,,"40.813047","0.523474","Oficina d'informació de l'Institut Català de les Dones a les Terres de l'Ebre","Tortosa","977441234","Carrer","Generalitat de Catalunya"
"31","13","Enric Delaris, 7","Osona","08560","Osona","siad@manlleu.cat","POINT (2.28332 42.00014)",,,,,"42.00014","2.28332","Servei d'informació i atenció a les dones (SIAD) de Manlleu","Manlleu","938510848","Carrer","Ajuntament de Manlleu"
"847","31","del Mestre, 5, B","Baix Llobregat","08758","Baix Llobregat","cird.donescervello@hotmail.es","POINT (1.95902 41.39736)",,,,,"41.39736","1.95902","Servei d'informació i atenció a les dones (SIAD) de Cervelló","Cervelló","936841981","Plaça","Ajuntament de Cervelló"
"512","29","Dolors Masferrer, 33-35","Barcelonès","08028","Barcelonès","piad_lescorts@bcn.cat","POINT (2.12842 41.38483)",,,,,"41.38483","2.12842","Servei d'informació i atenció a les dones (SIAD) de Barcelona - les Corts","Barcelona","932916491","Carrer","Ajuntament de Barcelona"
"191","6","Nou, 48","Alt Empordà","17600","Alt Empordà","siad@altemporda.org","POINT (2.96358 42.26484)",,,,,"42.26484","2.96358","Servei d'informació i atenció a les dones (SIAD) de l'Alt Empordà","Figueres","972677050","Carrer","Consell Comarcal de l'Alt Empordà"
"900","19","de Jaume Balmes, 3","Segarra","25200","Segarra","siad@ccsegarra.cat","POINT (1.27507 41.67107)",,,,,"41.67107","1.27507","Servei d'informació i atenció a les dones (SIAD) de la Segarra","Cervera","973531300","Passeig","Consell Comarcal de la Segarra"
"500","30","Mossèn Martí, 3","Alt Camp","43800","Alt Camp","benestarsocial@altcamp.cat","POINT (1.24979 41.2886)",,,,,"41.2886","1.24979","Servei d'informació i atenció a les dones (SIAD) de l'Alt Camp","Valls","977604258","Carrer","Consell Comarcal de l'Alt Camp"
"936","26","Major, 32 MIR (Casa de la Vila)","Vallès Occidental","08110","Vallès Occidental","oficinadona@montcada.org","POINT (2.18792 41.48558)",,,,,"41.48558","2.18792","Servei d'informació i atenció a les dones (SIAD) de Montcada i Reixac","Montcada i Reixac","935651122","Carrer","Ajuntament de Montcada i Reixac"
"560","22","Portalet, 4, 4a planta","Vallès Oriental","08401","Vallès Oriental","plaigualtat@ajuntament.granollers.cat","POINT (2.28746 41.60757)",,,,,"41.60757","2.28746","Servei d'informació i atenció a les dones (SIAD) de Granollers","Granollers","938426714","Carrer","Ajuntament de Granollers"
"841","29","Escoles, 10, baixos","Barcelonès","08930","Barcelonès","ciod@sant-adria.net","POINT (2.22098 41.42998)",,,,,"41.42998","2.22098","Servei d'informació i atenció a les dones (SIAD) de Sant Adrià del Besòs","Sant Adrià de Besòs","934621121","Carrer","Ajuntament de Sant Adrià del Besòs"
"511","31","del Mil·lenari, 18","Baix Llobregat","08840","Baix Llobregat","siad@viladecans.cat","POINT (2.00768 41.30996)",,,,,"41.30996","2.00768","Servei d'informació i atenció a les dones (SIAD) de Viladecans","Viladecans","936373322","Avinguda","Ajuntament de Viladecans"
"862","26","del Vallès 97-99 baixos (Edifici Can Tuset)","Vallès Occidental","08192","Vallès Occidental","sumemxlaigualtat@santquirzevalles.cat","POINT (2.03938 41.54305)",,,,,"41.54305","2.03938","Servei d'informació i atenció a les dones (SIAD) de Sant Quirze del Vallès","Sant Quirze del Vallès","937216800","Avinguda","Ajuntament de Sant Quirze del Vallès"
"305","9","de la Creu, 1","Pallars Jussà","25620","Pallars Jussà","benestar@ajuntamentdetremp.cat","POINT (0.89579 42.16671)",,,,,"42.16671","0.89579","Servei d'informació i atenció a les dones (SIAD) de Tremp","Tremp","973650005","Plaça","Ajuntament de Tremp"
"512","29","Foradada, 36","Barcelonès","08033","Barcelonès","piad_santandreu@bcn.cat","POINT (2.19119 41.45162)",,,,,"41.45162","2.19119","Servei d'informació i atenció a les dones (SIAD) de Barcelona - Sant Andreu","Barcelona","933457016","Carrer","Ajuntament de Barcelona"
"211","40","Barcelona, 152","Baix Ebre","43500","Baix Ebre","siad@baixebre.cat","POINT (0.52375 40.7949)",,,,,"40.7949","0.52375","Servei d'informació i atenció a les dones (SIAD) del Baix Ebre","Tortosa","977445308","Carrer","Consell Comarcal del Baix Ebre"
"608","31","dels Arbres, 21, despatx 1r pis","Baix Llobregat","08292","Baix Llobregat","dona@esparreguera.cat","POINT (1.86826 41.5395)",,,,,"41.5395","1.86826","Servei d'informació i atenció a les dones (SIAD) d'Esparreguera","Esparreguera","677 500 229","Carrer","Ajuntament d'Esparreguera"
"457","34","Joan Maragall, 36 (Edifici Escorxador)","Garraf","08870","Garraf","igualtat@sitges","POINT (1.81566 41.2373)",,,,,"41.2373","1.81566","Servei d'informació i atenció a les dones (SIAD) de Sitges","Sitges","938113180","Carrer","Ajuntament de Sitges"
"783","28","Sant Josep, 18","Conca de Barberà","43400","Conca de Barberà","siad@concadebarbera.cat","POINT (1.16283 41.37703)",,,,,"41.37703","1.16283","Servei d'informació i atenció a les dones (SIAD) de la Conca de Barberà","Montblanc","977861232","Carrer","Consell Comarcal de la Conca de Barberà"
"133","14","del mus, 1-A","Gironès","17003","Gironès","siad@girones.cat","POINT (2.8149 41.96307)",,,,,"41.96307","2.8149","Servei d'informació i atenció a les dones (SIAD) del Gironès","Girona","972201962","Riera","Consell Comarcal del Gironès"
"595","24","de Sant Miquel, 5","Anoia","08700","Anoia","igualtat@anoia.cat","POINT (1.61784 41.57801)",,,,,"41.57801","1.61784","Servei d'informació i atenció a les dones (SIAD) de l'Anoia","Igualada","938051585","Plaça","Consell Comarcal de l'Anoia"
"211","40","dels Dolors, 1","Baix Ebre","43500","Baix Ebre","siad.coordinacio@tortosa.cat","POINT (0.52362 40.81321)",,,,,"40.81321","0.52362","Servei d'informació i atenció a les dones (SIAD) de Tortosa","Tortosa","977445897","Plaça","Ajuntament de Tortosa"
"723","31","Verdaguer, 95, bis (Ca n'Ametller)","Baix Llobregat","08750","Baix Llobregat","eplu@molinsderei.cat","POINT (2.01577 41.41518)",,,,,"41.41518","2.01577","Servei d'informació i atenció a les dones (SIAD) de Molins de Rei","Molins de Rei","936803731","Carrer","Ajuntament de Molins de Rei"
"634","20","del Prat, 1, 1r","Selva","17430","Selva","siad@selva.cat","POINT (2.66243 41.8645)",,,,,"41.8645","2.66243","Servei d'informació i atenció a les dones (SIAD) de la Selva","Santa Coloma de Farners","872973003","Carrer","Consell Comarcal de la Selva"
"797","22","Mas Bagà, 24","Vallès Oriental","08450","Vallès Oriental","puntdona@llinarsdelvalles.cat","POINT (2.40511 41.64018)",,,,,"41.64018","2.40511","Servei d'informació i atenció a les dones (SIAD) de Llinars del Vallès","Llinars del Vallès","938413842","Carrer","Ajuntament de Llinars del Vallès"
,,"Sant Domènec, 24","Bages","08241","Bages","dona@ccbages.cat","POINT (1.82187 182187)",,,,,"182187","1.82187","Servei d'informació i atenció a les dones (SIAD) del Bages","Manresa","936930363","Muralla","Consell Comarcal del Bages"
,,"Pere Torrent, s/n","Selva","17310","Selva","dones@lloret.cat","POINT (42.43243 192883)",,,,,"192883","42.43243","Servei d'informació i atenció a les dones (SIAD) de Lloret de Mar","Lloret de Mar","972347172","Plaça","Ajuntament de Lloret de Mar"
"421","39","Doctor Ferran, 8","Baix Camp","43202","Baix Camp","siad@baixcamp.cat","POINT (1.10132 41.15444)",,,,,"41.15444","1.10132","Servei d'informació i atenció a les dones (SIAD) del Baix Camp","Reus","977327155","Carrer","Consell Comarcal del Baix Camp"
"133","14","de Pompeu Fabra, 1","Alt Empordà","17002","Gironès","icd.girona@gencat.cat","POINT (2.822654 41.981169)",,,,,"41.981169","2.822654","Oficina d'informació de l'Institut Català de les Dones a Girona","Girona","872975874","Plaça","Generalitat de Catalunya"
"937","26","de Gràcia, 59 (Casa Mònaco)","Vallès Occidental","08172","Vallès Occidental","donainformacio@santcugat.cat","POINT (2.086 41.46468)",,,,,"41.46468","2.086","Servei d'informació i atenció a les dones (SIAD) de Sant Cugat del Vallès","Sant Cugat del Vallès","935657000","Avinguda","Ajuntament de Sant Cugat del Vallès"
"682","26","Can Folguera, s/n","Vallès Occidental","08130","Vallès Occidental","rodriguezra@staperpetua.cat","POINT (2.18532 41.53231)",,,,,"41.53231","2.18532","Servei d'informació i atenció a les dones (SIAD) de Santa Perpètua de la Mogoda","Santa Perpètua de Mogoda","935604205","Plaça","Ajuntament de Santa Perpètua de la Mogoda"
"560","22","Miquel Ricomà, 46","Vallès Oriental","08401","Vallès Oriental","ramonedasa@vallesoriental.cat","POINT (2.2862 41.60603)",,,,,"41.60603","2.2862","Servei d'informació i atenció a les dones (SIAD) del Vallès Oriental","Granollers","938600706","Carrer","Consell Comarcal del Vallès Oriental"
"512","29","Major de Nou Barris, 1","Barcelonès","08042","Barcelonès","piad_noubarris@bcn.cat","POINT (2.1712 41.43692)",,,,,"41.43692","2.1712","Servei d'informació i atenció a les dones (SIAD) de Barcelona - Nou Barris","Barcelona","932916867","Plaça","Ajuntament de Barcelona"
"496","31","Ebre, 27 (Can Jordana)","Baix Llobregat","08830","Baix Llobregat","crdones@santboi.cat","POINT (2.0383 41.348)",,,,,"41.348","2.0383","Servei d'informació i atenció a les dones (SIAD) de Sant Boi de Llobregat","Sant Boi de Llobregat","936351200","Carrer","Ajuntament de Sant Boi de Llobregat"
"844","31","Nacional - 340","Baix Llobregat","08980","Baix Llobregat","conselldones@elbaixllobregat.cat","POINT (2.04027 41.38607)",,,,,"41.38607","2.04027","Servei d'informació i atenció a les dones (SIAD) del Baix Llobregat","Sant Feliu de Llobregat","936852400","Carretera","Consell Comarcal del Baix Llobregat"
"591","22","Josep Alfaràs, 6","Vallès Oriental","08470","Vallès Oriental","igualtat@santceloni.cat","POINT (2.49493 41.69144)",,,,,"41.69144","2.49493","Servei d'informació i atenció a les dones (SIAD) de Sant Celoni","Sant Celoni","938641210","Carrer","Ajuntament de Sant Celoni"
"512","29","Nou de la Rambla, 45, 4t","Barcelonès","08001","Barcelonès","piad_ciutatvella@bcn.cat","POINT (2.17268 41.37749)",,,,,"41.37749","2.17268","Servei d'informació i atenció a les dones (SIAD) de Barcelona - Ciutat Vella","Barcelona","932563221","Carrer","Ajuntament de Barcelona"
"588","16","Pals, 77","Baix Empordà","17200","Baix Empordà","espaidona@palafrugell.net","POINT (3.16241 41.92097)",,,,,"41.92097","3.16241","Servei d'informació i atenció a les dones (SIAD) de Palafrugell","Palafrugell","972611879","Carrer","Ajuntament de Palafrugell"
"804","26","de l'Ajuntament, 2","Vallès Occidental","08230","Vallès Occidental","benestarsocial@matadepera.cat","POINT (2.026 41.59715)",,,,,"41.59715","2.026","Servei d'informació i atenció a les dones (SIAD) de Matadepera","Matadepera","937301771","Plaça","Ajuntament de Matadepera"
"916","29","Montserrat Roig, 1","Barcelonès","08921","Barcelonès","bellvehiog@gramenet.cat","POINT (2.2055 41.45377)",,,,,"41.45377","2.2055","Servei d'informació i atenció a les dones (SIAD) de Santa Coloma de Gramenet","Santa Coloma de Gramenet","934661411","Plaça","Ajuntament de Santa Coloma de Gramenet"
"555","31","Francesc Santacana, 13 (Casa de Cultura de la Vila)","Baix Llobregat","08760","Baix Llobregat","serveissocials@martorell.cat","POINT (1.92841 41.47431)",,,,,"41.47431","1.92841","Servei d'informació i atenció a les dones (SIAD) de Martorell","Martorell","937735193","Carrer","Ajuntament de Martorell"
"412","34","de la Vila, 8","Garraf","08800","Garraf","equitat@vilanova.cat","POINT (1.72594 41.22408)",,,,,"41.22408","1.72594","Servei d'informació i atenció a les dones (SIAD) de Vilanova i la Geltrú","Vilanova i la Geltrú","938169002","Plaça","Ajuntament de Vilanova i la Geltrú"
"883","25","Barcelona, 33-35, entresòl","Maresme","08397","Maresme","cvalbonesi@pinedademar.org","POINT (2.68823 41.624)",,,,,"41.624","2.68823","Servei d'informació i atenció a les dones (SIAD) de Pineda de Mar","Pineda de Mar","937671843","Carrer","Ajuntament de Pineda de Mar"
"132","12","dels Dominics, 14","Solsonès","25280","Solsonès","atenciodona@solsones.ddl.net","POINT (1.51909 41.99582)",,,,,"41.99582","1.51909","Servei d'informació i atenció a les dones (SIAD) del Solsonès","Solsona","973483234","Carrer","Consell Comarcal del Solsonès"
"230","37","de la Font , 1","Tarragonès","43003","Tarragonès","siad@tarragona.cat","POINT (1.25578 41.11436)",,,,,"41.11436","1.25578","Servei d'informació i atenció a les dones (SIAD) de Tarragona","Tarragona","977296279","Plaça","Ajuntament de Tarragona"
"875","21","del Canyeret, s/n","Segrià","25007","Segrià","siad@segria.cat","POINT (0.62704 41.61637)",,,,,"41.61637","0.62704","Servei d'informació i atenció a les dones (SIAD) del Segrià","Lleida","973054800","Carrer","Consell Comarcal del Segrià"
"595","24","de la Pietat, 42-44 (Centre Cívic Fàtima)","Anoia","08700","Anoia","ead.siad@dae.cat","POINT (1.60502 41.58597)",,,,,"41.58597","1.60502","Servei d'informació i atenció a les dones (SIAD) d'Igualada","Igualada","938031950","Avinguda","Ajuntament d'Igualada"
"710","31","Sant Antoni, s/n (Àrea d'Igualtat de l'Ajuntament )","Baix Llobregat","08757","Baix Llobregat","conselldones@elbaixllobregat.cat","POINT (1.93004 41.41465)",,,,,"41.41465","1.93004","Servei d'informació i atenció a les dones (SIAD) de Corbera de Llobregat","Corbera de Llobregat","935175878","Plaça","Ajuntament de Corbera de Llobregat"
"928","22","Jaume I, 9 (Centre Cultural i Juvenil Can Pelegrí)","Vallès Oriental","08120","Vallès Oriental","igualtat@llagosta.cat","POINT (2.1914 41.5126)",,,,,"41.5126","2.1914","Servei d'informació i atenció a les dones (SIAD) de la Llagosta","La Llagosta","935451540","Carrer","Ajuntament de la Llagosta"
"227","41","Jaume I, 2-4","Montsià","43870","Montsià","siad@montsia.cat","POINT (0.58284 40.71257)",,,,,"40.71257","0.58284","Servei d'informació i atenció a les dones (SIAD) del Montsià","Amposta","977707496","Carrer","Consell Comarcal del Montsià"
"158","39","de l'Ajuntament, 4","Baix Camp","43850","Baix Camp","siad@cambrils.org","POINT (1.05809 41.07132)",,,,,"41.07132","1.05809","Servei d'informació i atenció a les dones (SIAD) de Cambrils","Cambrils","977794579 ext. 4311/2226","Plaça","Ajuntament de Cambrils"
"348","4","d'Alfons I, 50-52, baixos","Cerdanya","17520","Cerdanya","siad@cerdanya.org","POINT (1.9293 42.43382)",,,,,"42.43382","1.9293","Servei d'informació i atenció a les dones (SIAD) de la Cerdanya","Puigcerdà","972141313","Carrer","Consell Comarcal de la Cerdanya"
"512","29","Corts Catalanes, 837","Barcelonès","08018","Barcelonès","piad_santmarti@bcn.cat","POINT (2.18821 41.40523)",,,,,"41.40523","2.18821","Servei d'informació i atenció a les dones (SIAD) de Barcelona - Sant Martí","Barcelona","933077260","Gran Via","Ajuntament de Barcelona"
"456","33","Pep Jai, 2, baixos","Baix Penedès","43700","Baix Penedès","ssespecialitzats@baixpenedes.cat","POINT (1.53482 41.22292)",,,,,"41.22292","1.53482","Servei d'informació i atenció a les dones (SIAD) del Baix Penedès","El Vendrell","977157177","Plaça","Consell Comarcal del Baix Penedès"
"412","34","de Beatriu de Claramunt, 5-8","Garraf","08800","Garraf","siad@ccgarraf.cat","POINT (1.71411 41.22305)",,,,,"41.22305","1.71411","Servei d'informació i atenció a les dones (SIAD) del Garraf","Vilanova i la Geltrú","938100410","Plaça","Consell Comarcal del Garraf"
