"adre_a","artesania","codi_postal","coeducaci","comarca","comunicaci_societat_de_la","cultura_i_arts","demarcaci_territorial","diversitat_funcional","dones_grans","drets_humans_i_cooperaci","drets_sexuals_i_reproductius","ecofeminismes","economia_feminista","email","emprenedoria_i_direcci_d","esports","fax","inserci_laboral_i_ocupaci","interculturalitat_i_migraci","jur_dic_legal","lgtbi","lleure","m_n_rural","municipi","organisme","pensaments_feministes_i","promoci_d_activitats_i","salut","sororitat_i_ajuda_m_tua","tel_fon","tipus","treball_de_cura","treball_sexual","viol_ncies_masclistes","web"
"Ptge. de la Pedrera, 8-1, baixos","No","08921","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","amirarieraalta@gmail.com","No","No",,"No","No","No","No","Sí","No","Santa Coloma de Gramenet","AMIRA Associació de Mujeres per la Igualtat Riera Alta","No","No","No","No","671350983","Associacions/grup","No","No","No",
"C. Sant Eloi, 5-7","No","08038","No","Barcelonès","No","Sí","Barcelona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","No","No","Barcelona","Ancora, Promoción Cultural del Ámbito de la Dona","No","No","No","No",,"Associacions/grup","No","No","No",
"Rbla. Ferran, 32","No","25007","No","Segrià","No","Sí","Lleida","No","No","No","No","No","No","presidenta@aplleida.com;tresorera@aplleida.com","Sí","No",,"No","No","No","No","No","No","Lleida","Ap! Lleida. Associació Professional d'Empresàries","No","Sí","No","No",,"Associacions/grup","No","No","No","http://www.funde.net"
"C. Cartellà, 22, 3r 2a","No","08031","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","No","Sí","Barcelona","Aprodor (Associació per a la Promoció de la Dona Rural)","No","No","No","No",,"Associacions/grup","No","No","No",
"Pl. de Catalunya, 9, 5a planta, 2a","No","08002","No","Barcelonès","No","No","Barcelona","No","No","Sí","No","No","No","info@iridia.cat","No","No",,"No","No","No","No","No","No","Barcelona","Àrea de Gènere d'Irídia, Centre per la Defensa dels Drets Humans","No","No","No","No","699 919 469","Associacions/grup","No","No","No","http://www.iridia.cat/"
"C. d'Ali Bei, 25, 3r","No","08010","Sí","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","marta.alvarez@fsyc.org;fsyc@fsyc.org","No","No","93 244 05 73","No","No","No","No","No","No","Barcelona","Àrea de Gènere, Família i Addiccions de la Fundació Salut i Comunitat","No","No","Sí","No","93 244 05 70","Associacions/grup","No","No","Sí","http://www.fsyc.org/?lang=ca"
"Av. Portal de l'Àngel, 42, 2n A","No","08002","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","fpereardiaca@fpereardiaca.org","No","No","93 318 49 40","No","No","No","No","No","No","Barcelona","Àrea de la Dona de la Fundació Pere Ardiaca","No","Sí","No","No","93 511 44 58","Associacions/grup","No","No","No",
"C. de Sant Pau, 82, baixos","No","08001","No","Barcelonès","No","Sí","Barcelona","No","No","No","No","No","No","info@fundacioibnbattuta.org","Sí","No","933 293 540","No","Sí","No","No","No","No","Barcelona","Àrea Emprenedoria, Treball i Dona. Fundació Ibn Battuta","No","No","No","No","93 329 30 54","Associacions/grup","No","No","No","http://www.fundacionibnbattuta.org/"
"C. Joaquim Folguera, 25","No","08850","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","areola@grupslactancia.org; masopn@gmail.com","No","No",,"No","No","No","No","No","No","Gavà","AREOLA, Grup de Suport a l'Alletament Matern","No","No","No","Sí","93 637 56 76","Associacions/grup","Sí","No","No","http://www.areola.blog.cat; http://areola.webnode.cat/"
"Rbla. Vayreda, 31","No","08850","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","areola@grupslactancia.org","No","No",,"No","No","No","No","No","No","Gavà","AREOLA, Grup de Suport a l'Alletament Matern (Gavà)","No","No","No","Sí","93 662 72 97","Associacions/grup","Sí","No","No",
"Av. Antoni Gaudí, 26, 1r 2a","No","08840","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","grupoareola@gmail.com;","No","No",,"No","No","No","No","No","No","Viladecans","Areola, Grup de Suport a l'Alletament Matern (Viladecans)","No","No","No","Sí","93 637 03 33","Associacions/grup","Sí","No","No","http://areola.blog.cat/"
"C. de Sants, 391, 1r 1a","No","08028","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No",,"Sí","No",,"No","No","No","No","Sí","No","Barcelona","ARETÉ- Associació per al Desenvolupament del Talent Femení","No","No","No","No","699 209 172","Associacions/grup","No","No","No",
"C. Metge Carreras, 80, entl. 3a","No","08640","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","associacioariadna@gmail.com","No","No",,"No","No","No","No","Sí","No","Olesa de Montserrat","Ariadna. Associació de Dones en Lluita de les Malalties del Càncer de Mama","No","No","Sí","No","93 778 47 08","Associacions/grup","No","No","No","http://www.ariadna-olesa.org"
"Passatge Cervantes,5","No","43870","No","Montsià","No","Sí","Terres de l'Ebre","No","No","No","No","No","No","teregisbert56@hotmail.com","No","No",,"No","No","No","No","Sí","No","Amposta","Asociació de Mestresses de Casa d'Amposta","No","No","No","No","692 055 909","Associacions/grup","No","No","No",
"Passeig Gaudí, 31","No","08203","No","Vallès Occidental","No","No","Barcelona","No","No","No","No","No","No","actua@actuavalles.org; dona@actuavalles.org","No","No",,"No","No","No","No","No","No","Sabadell","Asociación Actuavallès","No","No","No","No","93 727 19 00","Associacions/grup","No","Sí","No","http://www.actuavalles.org"
"C. de Ripoll, 25","No","08002","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","rita_amaqui@yahoo.com","No","No",,"No","Sí","No","No","No","No","Barcelona","Asociación Amistad de las Mujeres Filipinas","No","No","No","No","93 412 71 61","Associacions/grup","No","No","No","http://www.caladona.org/grups/?page_id=28"
"C. Quevedo, 2, baixos","No","08012","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","abd@abd-ong.org","No","No","93 325 68 35","No","No","No","No","No","No","Barcelona","Asociación Bienestar y Desarrollo (ABD). Servei de Tractament de la Violència Familiar","No","No","No","No","93 289 05 30","Associacions/grup","No","No","Sí","http://abd-ong.org/ca/"
"Pl. de Mela Mutermilch, 1, 3r 1a","No","17001","No","Gironès","No","No","Girona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","No","No","Girona","Asociación Cultural Con-Equidad","No","Sí","No","No","972 200 231","Associacions/grup","No","No","No",
"C. Grup Arrahona, 98, local C-D","No","08205","No","Vallès Occidental","No","No","Barcelona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","No","No","Sabadell","Asociación Cultural Cristiana de Mujeres de Catalunya","No","No","No","No","93 727 99 64","Associacions/grup","No","No","No",
"C. Escòcia, 50, 4t 1a","No","08016","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No",,"No","No","93 668 60 57","No","No","No","No","No","No","Barcelona","Asociación Cultural Rhômbe. Grup de Dones","No","No","No","No",,"Associacions/grup","No","No","No",
"C. Selva de Mar, 215, 6è","No","08080","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","lapizarra@telefonica.net","No","No","93 307 37 50","No","No","No","No","No","No","Barcelona","Asociación de Ayuda a la Mujer La Pizarra de Raimunda","No","No","No","Sí","93 308 40 66","Associacions/grup","No","No","No",
"C. Doctor Coto, 56","No","43570","No","Montsià","No","No","Terres de l'Ebre","No","No","No","No","No","No","infocentre@santabarbara.cat","No","No",,"No","No","No","No","No","Sí","Santa Bàrbara","Asociación de Familias y Mujeres del Medio Rural de Tarragona -  AFAMMER","No","No","No","No","977719853","Associacions/grup","No","No","No","http://www.afammer.es/delegaciones.html#tema7"
"C. Provença, 301, baixos","No","08037","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","m.maiques@afaemme.org; afaemme@afaemme.org; bftubau@afaemme.org","Sí","No","93 241 39 01","No","No","No","No","No","No","Barcelona","Asociación de Federaciones y Asociaciones de Empresarias del Mediterráneo, AFAEMME","No","No","No","No","93 200 58 51","Agrupacions d'entitats","No","No","No","http://www.afaemme.org/"
"C. Gran Canària, 37, baixos","No","43006","No","Tarragonès","No","No","Tarragona","No","No","No","No","No","No","tachinaloba@hotmail.com","No","No",,"No","No","No","No","Sí","No","Tarragona","Asociación de Mujeres  La Granja","No","No","No","No","656879814","Associacions/grup","No","No","No",
"c/Santisidro, 18 4rt 2n","No","08302","No","Maresme","No","No","Barcelona","No","No","No","No","No","No","abojang@ajmataro.cat","No","No",,"No","Sí","No","No","No","No","Mataró","Asociación de Mujeres Africanas Musu Kafo","No","No","No","No","619493791","Associacions/grup","No","No","No",
"C. Bloc Paraguay, Escala A, 5è 4a","No","43007","No","Tarragonès","No","No","Tarragona","No","No","No","No","No","No",,"No","No",,"No","Sí","No","No","No","No","Tarragona","Asociación de Mujeres Argentinas (A.M.A)","No","No","No","No","977 200 235","Associacions/grup","No","No","No",
"Ctra. de Mataró, 59, baixos","No","08930","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","bienvenidas@hotmail.com","No","No",,"No","No","No","No","No","No","Sant Adrià de Besòs","Asociación de Mujeres Bienvenida","No","Sí","No","No","655 252 230","Associacions/grup","No","No","No",
"C. Vilamarí, 31, baixos","No","08015","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","terceros-35@hotmail.com","No","No",,"No","Sí","No","No","No","No","Barcelona","Asociación de Mujeres Bolivianas en Barcelona","No","No","No","No","677 563 498","Associacions/grup","No","No","No",
"C. Vilamarí, 31, baixos","No","08015","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","asoc.mujeresbolivianas@hotmail.com; terceros-35@hotmail.com","No","No","93 423 16 91","No","Sí","No","No","No","No","Barcelona","Asociación de Mujeres Bolivianas en Catalunya","No","No","No","No","677 563 498","Associacions/grup","No","No","No","http://www.asocmujeresbolivianasencatalunya.es.tl"
"C. d'Ali Bei, 34 3r 2a","No","08010","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","1422827588@qq.com","No","No","93 460 55 69","No","Sí","No","No","No","No","Barcelona","Asociación de Mujeres Chinas en Catalunya","No","No","No","No","93 460 55 68","Associacions/grup","No","No","No",
"C. Monturiol, 5, entl. 3","No","08191","No","Vallès Occidental","No","Sí","Barcelona","No","No","No","No","No","No","asociacion.amcv@gmail.com","No","No",,"No","No","No","No","Sí","No","Rubí","Asociación de Mujeres Creativas del Vallès","No","No","No","No","93 697 82 98","Associacions/grup","No","No","No","http://www.mujerescreativasdelvalles.blogspot.com/"
"C. Safareig, 1-3","No","08921","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","grupdedonesriunord@gmail.com","No","No",,"No","No","No","No","Sí","No","Santa Coloma de Gramenet","Asociación de Mujeres de Río Norte","No","Sí","No","No","93 386 36 49","Associacions/grup","No","No","No",
"C. Lluís Companys, 9","No","08921","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","chuesohoyo47@hotmail.com","No","No",,"No","No","No","No","Sí","No","Santa Coloma de Gramenet","Asociación de Mujeres del Río Sur","No","No","No","No","93 385 03 79","Associacions/grup","No","No","No",
"C. Masia , 1, 5è 1a","No","43520","No","Baix Ebre","No","No","Terres de l'Ebre","No","No","No","No","No","No","dianabezu@yahoo.es","No","No",,"No","Sí","No","No","No","No","Roquetes","Asociación de Mujeres Ecuatorianas residentes en España de Terres de l'Ebre","No","No","No","No","977 50 44 80","Associacions/grup","No","No","No",
"C. Ripoll, 25","No","08002","No","Barcelonès","No","Sí","Barcelona","No","No","No","No","No","No","remeisipi@gmail.com","No","No","93 412 39 96","No","Sí","No","No","No","No","Barcelona","Asociación de Mujeres E'Waiso Ipola","No","No","No","No",,"Associacions/grup","No","No","No",
"C. Cos del Bou, 23, 2a","No","43003","No","Tarragonès","No","No","Tarragona","No","No","No","No","No","No","maribel-barrio@hotmail.com","No","No",,"No","No","No","No","No","No","Tarragona","Asociación de Mujeres Germanor de la Part Alta","No","Sí","No","No","686 153 409","Associacions/grup","No","No","No",
"C. Montjuïc, 7, 1r 1a","No","08970","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","sipasitay@yahoo.es","No","No",,"Sí","Sí","No","No","No","No","Sant Joan Despí","Asociación de Mujeres Inmigradas Sumaq Warmi","No","No","No","No","600 73 45 46","Associacions/grup","No","No","No",
"C. de Ripoll, 25","No","08002","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","eva@separacionydivorcio.com","No","No","93 237 25 52","No","No","Sí","No","No","No","Barcelona","Asociación de Mujeres Juristas Themis","No","No","No","No","93 412 71 61","Associacions/grup","No","No","Sí","http://www.mujeresjuristasthemis.org"
"C. Laredo, 10, 1r  2a","No","08924","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","No","No","Santa Coloma de Gramenet","Asociación de Mujeres la Paloma, Sta. Coloma de Gramenet","No","No","No","No","93 392 09 69","Associacions/grup","No","No","No",
"C. Elisa, 23-25","No","08023","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","mujereslatinas@hotmail.es","No","No","93 417 90 59","No","Sí","No","No","No","No","Barcelona","Asociación de Mujeres Latinas Sin Fronteras","No","No","No","No","93 417 02 73","Associacions/grup","No","No","No",
"Plaça Constitución, 4","Sí","08840","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","asdonesmont@gmail.com","No","No",,"No","No","No","No","Sí","No","Viladecans","Asociación de Mujeres Montserratina","No","No","No","No","93 637 51 72","Associacions/grup","No","No","Sí",
"C. Camp de la Plana, 13","Sí","17004","No","Gironès","No","No","Girona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","No","No","Girona","Asociación de Mujeres Rigoberta Menchú","No","No","No","No","696852446","Associacions/grup","No","No","No",
"C. de Jericó, 15, baixos 4a","No","08035","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No",,"No","No",,"No","Sí","No","No","No","No","Barcelona","Asociación de Mujeres Trabajadoras","No","No","No","No","699 019 238","Associacions/grup","No","No","No",
"Calle Rocafort 242 Bis. piso 1 despacho D 2.","No","08029","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","aomicat@hotmail.com","No","No",,"No","Sí","No","No","No","No","Barcelona","Asociación de Orientación a las Mujeres Inmigrantes (AOMI)","No","No","No","No","931630442","Associacions/grup","No","No","No","http://www.aomicat.es/"
"Avinguda Doctor Fleming, 6B 2º 2ª","No","08840","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","asproemcol@hotmail.com","Sí","No",,"No","Sí","No","No","No","No","Viladecans","Asociación de Profesionales y Empresarias Colombianas en el Mundo","No","No","No","No","93 659 30 22","Associacions/grup","No","No","No","http://www.asproemcol.entitatsviladecans.org"
"Pl. Rafael Campanal, s/n (Centre Cívic)","No","08914","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","avlacolina@gmail.com","No","No",,"No","No","No","No","Sí","No","Badalona","Asociación de Vecinos del Barrio La Colina","No","No","No","No","93 383 39 08","Associacions/grup","No","No","No",
"Pl. Rogelio Soto, 15","No","08204","No","Vallès Occidental","No","No","Barcelona","No","No","No","No","No","No",,"No","No","93 711 66 22","No","No","No","No","Sí","No","Sabadell","Asociación de Vecinos del Polígono Espronceda. Vocalia de la Dona","No","No","No","No","93 711 83 72","Associacions/grup","No","No","No","http://www.avvespronceda.org/index.php?option=com_content&view=section&layout=blog&id=5&Itemid=2"
"Av. Maresme, 156-166","No","08918","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No",,"No","No","93 399 58 45","No","No","No","No","Sí","No","Badalona","Asociación de Vecinos Grupo de Maresme de Badalona","No","No","No","No","677 70 78 96","Associacions/grup","No","No","No",
"C. de la Ciència , 15","No","08917","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No",,"No","No","93 465 74 86","No","No","No","No","Sí","No","Badalona","Asociación de Vecinos Montigalà Batllòria","No","No","No","No","93 465 74 86","Associacions/grup","No","No","No",
"Rambla de Prim, 64-72","No","08019","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","avvbesos@gmail.com","No","No",,"No","No","No","No","Sí","No","Barcelona","Asociación de Veïns i Veïnes El Besòs. Vocalia de la Dona","No","No","No","No","93 278 18 62","Associacions/grup","No","No","No","www.avvbesos.com"
"Av. República Argentina 6, 4t 2a","No","08023","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","exilspain@pangea.org","No","No",,"No","No","No","No","No","No","Barcelona","Asociación Exil, Asociación de Atención Medico-psico-social para Víctimas de Violencia, Tortura y Violación de los Derechos Humanos","No","No","No","No","93 238 57 60","Associacions/grup","No","No","Sí","http://www.centroexil.org"
"C. Oreneta, 10","No","08290","No","Vallès Occidental","No","No","Barcelona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","No","No","Cerdanyola del Vallès","Asociación Femenina Actividades Culturales","No","Sí","No","No","93 691 21 54","Associacions/grup","No","No","No",
