"","name","addr:street","addr:city","addr:postcode","contact:phone","latitude","longitude","amenity","social_facility:for","source","source:date"
"20","Consell Comarcal del Solsonès","Carrer Domínics,12","Solsona",25280,"973 482 003 - 973 483 234",41.995490012,1.519259992,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"21","SAI Lleida (Departamental)","Avinguda del Segre,5","Lleida",25007,"973 703 679",41.616509126,0.631029694,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"22","SAI Sant Cugat del Vallès (local)","Casa Mónaco.Avinguda de Gràcia,50","Sant Cugat del Vallès",8172,"93 565 70 00",41.46617999,2.085459949,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"23","SAI de Calafell (local)","Plaça Constitució,5","Calafell",43820,"977 699 009 Ext. 773",41.201490045,1.569470006,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"24","SAI Vilanova i la Geltrú (local)","Plaça de la Vila,8","Vilanova i la Geltrú",8800,"93814 00 00 Ext. 3283",41.224090908,1.725938303,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"25","SAI Esplugues de Llobregat (local)","Carrer Àngel Guimerà,34","Esplugues de Llobregat",8950,"900 300 082",41.377319994,2.084919987,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"26","SAI Tarragona (local)","Plaça Imperial Tarraco,1","Tarragona",43005,"",41.119280643,1.246232109,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"27","SAI d'Amposta (local)","Sant Roc, 8-14","Amposta",43870,"977 702 456",40.712810023,0.58109995,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"28","SAI Sant Boi de Llobregat (local)","Carrer Ebre,27","Sant Boi de Llobregat",8830,"93 635 12 00  Ext. 156 - 436 - 409",41.347980022,2.038320046,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"29","SAI Sant Feliu de Guíxols (local)","Plaça Salvador Espriu. Centre Cívic de Vilartagues","Sant Feliu de Guíxols",17220,"972 82 01 01",41.791949979,3.024529997,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"30","SAI Torelló (local)","Carrer Enric Prat de la Riba,17","Torelló",8570,"93 859 42 72 - 93 859 36 12",42.04865201,2.264947305,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"31","Consell Comarcal del Baix Empordà","Carrer dels Tarongers,12","La Bisbal d'Empordà",17100,"972 642 310 - 972 645 543",41.95861999,3.039219992,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"32","Consell Comarcal del Bages","Carrer Muralla de St. Domènec,24","Manresa",8241,"93 693 03 63",41.724639959,1.821800017,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"33","SAI Terrassa (local)","Edifici Glòries. Carretera de Montcada,596","Terrassa",8223,"93 731 59 82 - 93 739 70 00 Ext. 3680 i 3639",41.55877999,2.028110059,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"34","Consell Comarcal del Tarragonès","Carrer Les Coques,3","Tarragona",43003,"977 244 500",41.11904,1.25865,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"35","Consell Comarcal de la Cerdanya. Servei d'Atenció Integral per a persones LGBTI","Carrer Alfons I,50-52","Puigcerdà",17520,"972 141 313",42.433889969,1.929310016,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"36","SAI El Prat de Llobregat (local)","Plaça de l'Agricultura,4","El Prat de Llobregat",8820,"93 379 00 50 Ext.5600",41.324780042,2.093289956,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"37","Consell Comarcal del Pla d'Urgell","Carrer Prat de la Riba,1","Mollerussa",25230,"973 711 313",41.63178,0.89435,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"38","Consell Comarcal Osona","Carrer de la Llotja,1","Vic",8500,"93 702 72 84",41.92630928,2.246835724,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"39","Consell Comarcal del Berguedà","Carrer Barcelona,49","Berga",8600,"93 821 35 53",42.099189965,1.847060027,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"40","Servei d'Atenció Integral del Pallars Sobirà (comarcal)","Carrer del Mig,9","Sort",25560,"973620107",42.411769959,1.130249965,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"41","Consell Comarcal de la Noguera","Passeig Àngel Guimerà,28","Balaguer",25600,"973 448 933",41.785803594,0.804412657,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"42","Consell Comarcal del Baix Llobregat","Parc Torreblanca,s/n","Sant Feliu de Llobregat",8980,"93 685 24 00",41.379280039,2.056580042,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"43","SAI Valls (local)","Carretera del Pla,37","Valls",43800,"977 614 040",41.296949986,1.257399965,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"44","Consell Comarcal de l'Alt Urgell","Centre Cívic El Passeig. Plaça Soldevila","La Seu d'Urgell",27500,"973 354 102",42.35518997,1.461049979,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"45","Consell Comarcal de l'Alt Penedès","Carrer Hermenegild Clascar,1-3","Vilafranca del Penedès",8720,"93 890 00 00",41.34608,1.696080008,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"46","SAI Girona (Departamental)","Plaça de Pompeu Fabra,1","Girona",17002,"872 975 958",41.981071059,2.822207288,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"47","SAI Sabadell (local)","Carrer de Vidal,146","Sabadell",8208,"93 724 61 67 - 93 724 61 68",41.554079961,2.112450038,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"48","Consell Comarcal de l'Alta Ribagorça","Carrer Aigüestortes,10","El Pont de Suert",25520,"973 691 264",42.41244998,0.740820006,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"49","SAI Tàrrega (local)","Plaça Constitució,5","Tàrrega",25300,"973 311 608 - 973 502 670",41.646330015,1.139099949,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"50","SAI Tarragona (Departamental)","Avinguda d'Andorra,7bis local 3","Tarragona",43002,"977 241 935",41.120784081,1.244742126,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"51","SAI Palafrugell (local)","Carrer de Pals,77","Palafrugell",17200,"972 611 879",41.920950047,3.162400038,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"52","Consell Comarcal del Baix Penedès","Carrer Andreu Nin, 1-3","El Vendrell",43700,"977 157 177",41.22243,1.53473,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"53","SAI Manresa (local)","Carrer de la Canal,6","Manresa",8241,"93 875 23 10",41.724429995,1.825519948,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"54","SAI de Blanes (local)","Plaça Argentina,5","Blanes",17300,"972 336 207",41.667610034,2.784299986,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"55","SAI Lleida (local)","Avinguda Tortosa,2","Lleida",25005,"973 700 457",41.6191,0.63667,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"56","Consell Comarcal de la Selva","Carrer del Prat,1","Santa Coloma de Farners",17430,"872 973 003",41.864470024,2.66277999,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"57","Consell Comarcal del Ripollès","Carrer del Progrés,22","Ripoll",17500,"972 715 839",42.197769995,2.194469978,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"58","SAI Vilafranca del Penedès (local)","Plaça Penedès,3","Vilafranca del Penedès",8720,"93 892 03 58 Ext. 3283",41.343939163,1.699273634,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"59","Consell Comarcal de Les Garrigues","Av. Francesc Macià,54","Les Borges Blanques",25400,"973 142 658. Ext. 217",41.513200033,0.876720036,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"60","Consell Comarcal del Pla de l'Estany","Carrer Pere Alsius,12","Banyoles",17820,"972 58 03 88",42.115879967,2.764309961,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"61","SAI Tortosa (local)","Carrer Enric Bayerri,2-4","Tortosa",43500,"977 585 810",40.810700008,0.520940023,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
"62","Consell Comarcal de la Terra Alta","Carrer Povet de la Plana,4","Gandesa",43780,"977 421 659",41.051529973,0.442819994,"social_facility","LGBTI","Generalitat de Catalunya","2019-01-21"
