;name;addr:full;addr:street;addr:housenumber;addr:housename;addr:floor;addr:postcode;addr:city;contact:phone;contact:email;operator;latitude;longitude;amenity;social_facility:for;source;source:date
45;Servei d'informació i atenció a les dones (SIAD) de l'Alt Empordà;Carrer Nou, 48;Carrer Nou;48;;;17600;Figueres;+34 972 677050 ;siad@altemporda.org;Consell Comarcal de l'Alt Empordà;42,26484;2,96358;social_facility;woman;Generalitat de Catalunya;2018-05-03
46;Servei d'informació i atenció a les dones (SIAD) de la Segarra;Passeig de Jaume Balmes, 3;Passeig de Jaume Balmes;3;;;25200;Cervera;+34 973 531300 ;siad@ccsegarra.cat;Consell Comarcal de la Segarra;41,67107;1,27507;social_facility;woman;Generalitat de Catalunya;2018-05-03
47;Servei d'informació i atenció a les dones (SIAD) de l'Alt Camp;Carrer Mossèn Martí, 3;Carrer Mossèn Martí;3;;;43800;Valls;+34 977 604258 ;benestarsocial@altcamp.cat;Consell Comarcal de l'Alt Camp;41,2886;1,24979;social_facility;woman;Generalitat de Catalunya;2018-05-03
48;Servei d'informació i atenció a les dones (SIAD) de Montcada i Reixac;Carrer Major, 32 MIR (Casa de la Vila);Carrer Major;32;Casa de la Vila;;08110;Montcada i Reixac;+34 935 651122 ;oficinadona@montcada.org;Ajuntament de Montcada i Reixac;41,48558;2,18792;social_facility;woman;Generalitat de Catalunya;2018-05-03
49;Servei d'informació i atenció a les dones (SIAD) de Granollers;Carrer Portalet, 4, 4a planta;Carrer Portalet;4;;4;08401;Granollers;+34 938 426714 ;plaigualtat@ajuntament.granollers.cat;Ajuntament de Granollers;41,60757;2,28746;social_facility;woman;Generalitat de Catalunya;2018-05-03
50;Servei d'informació i atenció a les dones (SIAD) de Sant Adrià del Besòs;Carrer Escoles, 10, baixos;Carrer Escoles;10;;Baixos;08930;Sant Adrià de Besòs;+34 934 621121 ;ciod@sant-adria.net;Ajuntament de Sant Adrià del Besòs;41,42998;2,22098;social_facility;woman;Generalitat de Catalunya;2018-05-03
51;Servei d'informació i atenció a les dones (SIAD) de Viladecans;Avinguda del Mil·lenari, 18;Avinguda del Mil·lenari;18;;;08840;Viladecans;+34 936 373322 ;siad@viladecans.cat;Ajuntament de Viladecans;41,30996;2,00768;social_facility;woman;Generalitat de Catalunya;2018-05-03
52;Servei d'informació i atenció a les dones (SIAD) de Sant Quirze del Vallès;Avinguda del Vallès 97-99 baixos (Edifici Can Tuset);Avinguda del Vallès;97-99;Edifici Can Tuset;Baixos;08192;Sant Quirze del Vallès;+34 937 216800 ;sumemxlaigualtat@santquirzevalles.cat;Ajuntament de Sant Quirze del Vallès;41,54305;2,03938;social_facility;woman;Generalitat de Catalunya;2018-05-03
53;Servei d'informació i atenció a les dones (SIAD) de Tremp;Plaça de la Creu, 1;Plaça de la Creu;1;;;25620;Tremp;+34 973 650005 ;benestar@ajuntamentdetremp.cat;Ajuntament de Tremp;42,16671;0,89579;social_facility;woman;Generalitat de Catalunya;2018-05-03
54;Servei d'informació i atenció a les dones (SIAD) de Barcelona - Sant Andreu;Carrer Foradada, 36;Carrer Foradada;36;;;08033;Barcelona;+34 933 457016 ;piad_santandreu@bcn.cat;Ajuntament de Barcelona;41,45162;2,19119;social_facility;woman;Generalitat de Catalunya;2018-05-03
55;Servei d'informació i atenció a les dones (SIAD) del Baix Ebre;Carrer Barcelona, 152;Carrer Barcelona;152;;;43500;Tortosa;+34 977 445308 ;siad@baixebre.cat;Consell Comarcal del Baix Ebre;40,7949;0,52375;social_facility;woman;Generalitat de Catalunya;2018-05-03
56;Servei d'informació i atenció a les dones (SIAD) d'Esparreguera;Carrer dels Arbres, 21, despatx 1r pis;Carrer dels Arbres;21;;1;08292;Esparreguera;+34 677 500229 ;dona@esparreguera.cat;Ajuntament d'Esparreguera;41,5395;1,86826;social_facility;woman;Generalitat de Catalunya;2018-05-03
57;Servei d'informació i atenció a les dones (SIAD) de Sitges;Carrer Joan Maragall, 36 (Edifici Escorxador);Carrer Joan Maragall;36;Edifici Escorxador;;08870;Sitges;+34 938 113180 ;igualtat@sitges;Ajuntament de Sitges;41,2373;1,81566;social_facility;woman;Generalitat de Catalunya;2018-05-03
58;Servei d'informació i atenció a les dones (SIAD) de la Conca de Barberà;Carrer Sant Josep, 18;Carrer Sant Josep;18;;;43400;Montblanc;+34 977 861232 ;siad@concadebarbera.cat;Consell Comarcal de la Conca de Barberà;41,37703;1,16283;social_facility;woman;Generalitat de Catalunya;2018-05-03
59;Servei d'informació i atenció a les dones (SIAD) del Gironès;Riera del mus, 1-A;Riera del mus;1-A;;;17003;Girona;+34 972 201962 ;siad@girones.cat;Consell Comarcal del Gironès;41,96307;2,8149;social_facility;woman;Generalitat de Catalunya;2018-05-03
60;Servei d'informació i atenció a les dones (SIAD) de l'Anoia;Plaça de Sant Miquel, 5;Plaça de Sant Miquel;5;;;08700;Igualada;+34 938 051585 ;igualtat@anoia.cat;Consell Comarcal de l'Anoia;41,57801;1,61784;social_facility;woman;Generalitat de Catalunya;2018-05-03
61;Servei d'informació i atenció a les dones (SIAD) de Tortosa;Plaça dels Dolors, 1;Plaça dels Dolors;1;;;43500;Tortosa;+34 977 445897 ;siad.coordinacio@tortosa.cat;Ajuntament de Tortosa;40,81321;0,52362;social_facility;woman;Generalitat de Catalunya;2018-05-03
62;Servei d'informació i atenció a les dones (SIAD) de Molins de Rei;Carrer Verdaguer, 95, bis (Ca n'Ametller);Carrer Verdaguer;95bis;Ca n'Ametller;;08750;Molins de Rei;+34 936 803731 ;eplu@molinsderei.cat;Ajuntament de Molins de Rei;41,41518;2,01577;social_facility;woman;Generalitat de Catalunya;2018-05-03
63;Servei d'informació i atenció a les dones (SIAD) de la Selva;Carrer del Prat, 1, 1r;Carrer del Prat;1;;1;17430;Santa Coloma de Farners;+34 872 973003 ;siad@selva.cat;Consell Comarcal de la Selva;41,8645;2,66243;social_facility;woman;Generalitat de Catalunya;2018-05-03
64;Servei d'informació i atenció a les dones (SIAD) de Llinars del Vallès;Carrer Mas Bagà, 24;Carrer Mas Bagà;24;;;08450;Llinars del Vallès;+34 938 413842 ;puntdona@llinarsdelvalles.cat;Ajuntament de Llinars del Vallès;41,64018;2,40511;social_facility;woman;Generalitat de Catalunya;2018-05-03
65;Servei d'informació i atenció a les dones (SIAD) del Bages;Muralla Sant Domènec, 24;Muralla Sant Domènec;24;;;08241;Manresa;+34 936 930363 ;dona@ccbages.cat;Consell Comarcal del Bages;41,724661;1,8218395;social_facility;woman;Generalitat de Catalunya;2018-05-03
66;Servei d'informació i atenció a les dones (SIAD) de Lloret de Mar;Plaça Pere Torrent, s/n;Plaça Pere Torrent;s/n;;;17310;Lloret de Mar;+34 972 347172 ;dones@lloret.cat;Ajuntament de Lloret de Mar;41,7003016;2,8443995;social_facility;woman;Generalitat de Catalunya;2018-05-03
67;Servei d'informació i atenció a les dones (SIAD) del Baix Camp;Carrer Doctor Ferran, 8;Carrer Doctor Ferran;8;;;43202;Reus;+34 977 327155 ;siad@baixcamp.cat;Consell Comarcal del Baix Camp;41,15444;1,10132;social_facility;woman;Generalitat de Catalunya;2018-05-03
68;Oficina d'informació de l'Institut Català de les Dones a Girona;Plaça de Pompeu Fabra, 1;Plaça de Pompeu Fabra;1;;;17002;Girona;+34 872 975874 ;icd.girona@gencat.cat;Generalitat de Catalunya;41,981169;2,822654;social_facility;woman;Generalitat de Catalunya;2018-05-03
69;Servei d'informació i atenció a les dones (SIAD) de Sant Cugat del Vallès;Avinguda de Gràcia, 59 (Casa Mònaco);Avinguda de Gràcia;59;Casa Mònaco;;08172;Sant Cugat del Vallès;+34 935 657000 ;donainformacio@santcugat.cat;Ajuntament de Sant Cugat del Vallès;41,46468;2,086;social_facility;woman;Generalitat de Catalunya;2018-05-03
70;Servei d'informació i atenció a les dones (SIAD) de Santa Perpètua de la Mogoda;Plaça Can Folguera, s/n;Plaça Can Folguera;s/n;;;08130;Santa Perpètua de Mogoda;+34 935 604205 ;rodriguezra@staperpetua.cat;Ajuntament de Santa Perpètua de la Mogoda;41,53231;2,18532;social_facility;woman;Generalitat de Catalunya;2018-05-03
71;Servei d'informació i atenció a les dones (SIAD) del Vallès Oriental;Carrer Miquel Ricomà, 46;Carrer Miquel Ricomà;46;;;08401;Granollers;+34 938 600706 ;ramonedasa@vallesoriental.cat;Consell Comarcal del Vallès Oriental;41,60603;2,2862;social_facility;woman;Generalitat de Catalunya;2018-05-03
72;Servei d'informació i atenció a les dones (SIAD) de Barcelona - Nou Barris;Plaça Major de Nou Barris, 1;Plaça Major de Nou Barris;1;;;08042;Barcelona;+34 932 916867 ;piad_noubarris@bcn.cat;Ajuntament de Barcelona;41,43692;2,1712;social_facility;woman;Generalitat de Catalunya;2018-05-03
73;Servei d'informació i atenció a les dones (SIAD) de Sant Boi de Llobregat;Carrer Ebre, 27 (Can Jordana);Carrer Ebre;27;Can Jordana;;08830;Sant Boi de Llobregat;+34 936 351200 ;crdones@santboi.cat;Ajuntament de Sant Boi de Llobregat;41,348;2,0383;social_facility;woman;Generalitat de Catalunya;2018-05-03
74;Servei d'informació i atenció a les dones (SIAD) del Baix Llobregat;Carretera Nacional - 340;Carretera Reial;159;Consell Comarcal del Baix Llobregat;;08980;Sant Feliu de Llobregat;+34 936 852400 ;conselldones@elbaixllobregat.cat;Consell Comarcal del Baix Llobregat;41,3794519;2,0565054;social_facility;woman;Generalitat de Catalunya;2018-05-03
75;Servei d'informació i atenció a les dones (SIAD) de Sant Celoni;Carrer Josep Alfaràs, 6;Carrer Josep Alfaràs;6;;;08470;Sant Celoni;+34 938 641210 ;igualtat@santceloni.cat;Ajuntament de Sant Celoni;41,69144;2,49493;social_facility;woman;Generalitat de Catalunya;2018-05-03
76;Servei d'informació i atenció a les dones (SIAD) de Barcelona - Ciutat Vella;Carrer Nou de la Rambla, 45, 4t;Carrer Nou de la Rambla;45;;4;08001;Barcelona;+34 932 563221 ;piad_ciutatvella@bcn.cat;Ajuntament de Barcelona;41,37749;2,17268;social_facility;woman;Generalitat de Catalunya;2018-05-03
77;Servei d'informació i atenció a les dones (SIAD) de Palafrugell;Carrer Pals, 77;Carrer Pals;77;;;17200;Palafrugell;+34 972 611879 ;espaidona@palafrugell.net;Ajuntament de Palafrugell;41,92097;3,16241;social_facility;woman;Generalitat de Catalunya;2018-05-03
78;Servei d'informació i atenció a les dones (SIAD) de Matadepera;Plaça de l'Ajuntament, 2;Plaça de l'Ajuntament;2;;;08230;Matadepera;+34 937 301771 ;benestarsocial@matadepera.cat;Ajuntament de Matadepera;41,59715;2,026;social_facility;woman;Generalitat de Catalunya;2018-05-03
79;Servei d'informació i atenció a les dones (SIAD) de Santa Coloma de Gramenet;Plaça Montserrat Roig, 1;Plaça Montserrat Roig;1;;;08921;Santa Coloma de Gramenet;+34 934 661411 ;bellvehiog@gramenet.cat;Ajuntament de Santa Coloma de Gramenet;41,45377;2,2055;social_facility;woman;Generalitat de Catalunya;2018-05-03
80;Servei d'informació i atenció a les dones (SIAD) de Martorell;Carrer Francesc Santacana, 13 (Casa de Cultura de la Vila);Carrer Francesc Santacana;13;Casa de Cultura de la Vila;;08760;Martorell;+34 937 735193 ;serveissocials@martorell.cat;Ajuntament de Martorell;41,47431;1,92841;social_facility;woman;Generalitat de Catalunya;2018-05-03
81;Servei d'informació i atenció a les dones (SIAD) de Vilanova i la Geltrú;Plaça de la Vila, 8;Plaça de la Vila;8;;;08800;Vilanova i la Geltrú;+34 938 169002 ;equitat@vilanova.cat;Ajuntament de Vilanova i la Geltrú;41,22408;1,72594;social_facility;woman;Generalitat de Catalunya;2018-05-03
82;Servei d'informació i atenció a les dones (SIAD) de Pineda de Mar;Carrer Barcelona, 33-35, entresòl;Carrer Barcelona;33-35;;Entresòl;08397;Pineda de Mar;+34 937 671843 ;cvalbonesi@pinedademar.org;Ajuntament de Pineda de Mar;41,624;2,68823;social_facility;woman;Generalitat de Catalunya;2018-05-03
83;Servei d'informació i atenció a les dones (SIAD) del Solsonès;Carrer dels Dominics, 14;Carrer dels Dominics;14;;;25280;Solsona;+34 973 483234 ;atenciodona@solsones.ddl.net;Consell Comarcal del Solsonès;41,99582;1,51909;social_facility;woman;Generalitat de Catalunya;2018-05-03
84;Servei d'informació i atenció a les dones (SIAD) de Tarragona;Plaça de la Font , 1;Plaça de la Font ;1;;;43003;Tarragona;+34 977 296279 ;siad@tarragona.cat;Ajuntament de Tarragona;41,1174153;1,2543236;social_facility;woman;Generalitat de Catalunya;2018-05-03
85;Servei d'informació i atenció a les dones (SIAD) del Segrià;Carrer del Canyeret, s/n;Carrer del Canyeret;s/n;;;25007;Lleida;+34 973 054800 ;siad@segria.cat;Consell Comarcal del Segrià;41,61637;0,62704;social_facility;woman;Generalitat de Catalunya;2018-05-03
86;Servei d'informació i atenció a les dones (SIAD) d'Igualada;Avinguda de la Pietat, 42-44 (Centre Cívic Fàtima);Avinguda de la Pietat;42-44;Centre Cívic Fàtima;;08700;Igualada;+34 938 031950 ;ead.siad@dae.cat;Ajuntament d'Igualada;41,58597;1,60502;social_facility;woman;Generalitat de Catalunya;2018-05-03
87;Servei d'informació i atenció a les dones (SIAD) de Corbera de Llobregat;Plaça Sant Antoni, s/n (Àrea d'Igualtat de l'Ajuntament );Plaça Sant Antoni;s/n;Àrea d'Igualtat de l'Ajuntament;;08757;Corbera de Llobregat;+34 935 175878 ;conselldones@elbaixllobregat.cat;Ajuntament de Corbera de Llobregat;41,41465;1,93004;social_facility;woman;Generalitat de Catalunya;2018-05-03
88;Servei d'informació i atenció a les dones (SIAD) de la Llagosta;Carrer Jaume I, 9 (Centre Cultural i Juvenil Can Pelegrí);Carrer Jaume I;9;Centre Cultural i Juvenil Can Pelegrí;;08120;La Llagosta;+34 935 451540 ;igualtat@llagosta.cat;Ajuntament de la Llagosta;41,5126;2,1914;social_facility;woman;Generalitat de Catalunya;2018-05-03
