"","name","contact:phone","contact:email","contact:website","description","amenity","social_facility:for","source","source:date","Id","addr:street","addr:housenumber","addr:block","addr:floor","addr:housename","addr:postcode","addr:city","addr:place","latitud","longitud"
"31","Amics de Ravensbrück","+34 933196637","info@amicalravensbruck.org","http://www.amicalravensbruck.org","cultura i arts","social_facility","woman","Generalitat de Catalunya","2019-03-29",193,"Pl Doctor Ignasi Barraquer","6",NA,NA,NA,"08029","Barcelona",NA,"0","0"
"32","AMIRA Associació de Mujeres per la Igualtat Riera Alta","+34 671350983","amirarieraalta@gmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",508,"Passatge de la Pedrera","8-1",NA,NA,NA,"08921","Santa Coloma de Gramenet",NA,"41,455319038","2,21446652"
"33","Ancora, Promoción Cultural del Ámbito de la Dona","+34 ","","","cultura i arts","social_facility","woman","Generalitat de Catalunya","2019-03-29",237,"Carrer Sant Eloi","5-7",NA,NA,NA,"08038","Barcelona",NA,"41,356039605","2,142806801"
"34","Ap! Lleida. Associació Professional d'Empresàries","+34 ","presidenta@aplleida.com;tresorera@aplleida.com","http://www.funde.net","cultura i arts; emprenedoria i direcció d'empreses; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Aprodor (Associació per a la Promoció de la Dona Rural)","+34 ","","","món rural","social_facility","woman","Generalitat de Catalunya","2019-03-29",202,"Carrer Cartellà","22",NA,"3",NA,"08031","Barcelona",NA,"41,427256368","2,174494037"
"36","Àrea de Gènere d'Irídia, Centre per la Defensa dels Drets Humans","+34 699 919 469","info@iridia.cat","http://www.iridia.cat/","drets humans i cooperació","social_facility","woman","Generalitat de Catalunya","2019-03-29",36,"Plaça de Catalunya","9",NA,"5",NA,"08002","Barcelona",NA,"0","0"
"37","Àrea de Gènere, Família i Addiccions de la Fundació Salut i Comunitat","+34 93 244 05 70","marta.alvarez@fsyc.org;fsyc@fsyc.org","http://www.fsyc.org/?lang=ca","coeducació; salut","social_facility","woman","Generalitat de Catalunya","2019-03-29",94,"Carrer d'Ali Bei","25",NA,"3",NA,"08010","Barcelona",NA,"41,391819277","2,178322664"
"38","Àrea de la Dona de la Fundació Pere Ardiaca","+34 93 511 44 58","fpereardiaca@fpereardiaca.org","","promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",19,"Avinguda Portal de l'Àngel","42",NA,"2",NA,"08002","Barcelona",NA,"0","0"
"39","Àrea Emprenedoria, Treball i Dona. Fundació Ibn Battuta","+34 93 329 30 54","info@fundacioibnbattuta.org","http://www.fundacionibnbattuta.org/","cultura i arts; emprenedoria i direcció d'empreses; interculturalitat i migració","social_facility","woman","Generalitat de Catalunya","2019-03-29",8,"Carrer de Sant Pau","82",NA,NA,NA,"08001","Barcelona",NA,"41,377240016","2,170051714"
"40","AREOLA, Grup de Suport a l'Alletament Matern","+34 93 637 56 76","areola@grupslactancia.org; masopn@gmail.com","http://www.areola.blog.cat; http://areola.webnode.cat/","sororitat i ajuda mútua","social_facility","woman","Generalitat de Catalunya","2019-03-29",449,"Carrer Joaquim Folguera","25",NA,NA,NA,"08850","Gavà",NA,"41,300537111","2,002999137"
"41","AREOLA, Grup de Suport a l'Alletament Matern (Gavà)","+34 93 662 72 97","areola@grupslactancia.org","","sororitat i ajuda mútua","social_facility","woman","Generalitat de Catalunya","2019-03-29",451,"Rambla Joaquim Vayreda","31",NA,NA,NA,"08850","Gavà",NA,"41,304472392","2,00864498"
"42","Areola, Grup de Suport a l'Alletament Matern (Viladecans)","+34 93 637 03 33","grupoareola@gmail.com;","http://areola.blog.cat/","sororitat i ajuda mútua","social_facility","woman","Generalitat de Catalunya","2019-03-29",444,"Avinguda Antoni Gaudí","26",NA,"1",NA,"08840","Viladecans",NA,"41,3564312","2,0304161"
"43","ARETÉ- Associació per al Desenvolupament del Talent Femení","+34 699 209 172","","","emprenedoria i direcció d'empreses; lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",181,"Carrer de Sants","391",NA,"1",NA,"08028","Barcelona",NA,"41,375541737","2,124253162"
"44","Ariadna. Associació de Dones en Lluita de les Malalties del Càncer de Mama","+34 93 778 47 08","associacioariadna@gmail.com","http://www.ariadna-olesa.org","lleure; salut","social_facility","woman","Generalitat de Catalunya","2019-03-29",395,"Carrer Metge Carreras","80",NA,"entl",NA,"08640","Olesa de Montserrat",NA,"41,540739357","1,894228074"
"45","Asociació de Mestresses de Casa d'Amposta","+34 692 055 909","teregisbert56@hotmail.com","","cultura i arts; lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Asociación Actuavallès","+34 93 727 19 00","actua@actuavalles.org; dona@actuavalles.org","http://www.actuavalles.org",NA,"social_facility","woman","Generalitat de Catalunya","2019-03-29",266,"Passeig Gaudí","31",NA,NA,NA,"08203","Sabadell",NA,"0","0"
"47","Asociación Amistad de las Mujeres Filipinas","+34 93 412 71 61","rita_amaqui@yahoo.com","http://www.caladona.org/grups/?page_id=28","interculturalitat i migració","social_facility","woman","Generalitat de Catalunya","2019-03-29",21,"Carrer de Ripoll","25",NA,NA,NA,"08002","Barcelona",NA,"41,385473794","2,175069845"
"48","Asociación Bienestar y Desarrollo (ABD). Servei de Tractament de la Violència Familiar","+34 93 289 05 30","abd@abd-ong.org","http://abd-ong.org/ca/",NA,"social_facility","woman","Generalitat de Catalunya","2019-03-29",106,"Carrer Quevedo","2",NA,NA,NA,"08012","Barcelona",NA,"41,402182154","2,162807554"
"49","Asociación Cultural Con-Equidad","+34 972 200 231","","","promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",542,"Plaça de Mela Mutermilch","1",NA,"3",NA,"17001","Girona",NA,"0","0"
"50","Asociación Cultural Cristiana de Mujeres de Catalunya","+34 93 727 99 64","","",NA,"social_facility","woman","Generalitat de Catalunya","2019-03-29",269,"Carrer Grup Arrahona","98",NA,NA,NA,"08205","Sabadell",NA,"41,539085377","2,088418046"
"51","Asociación Cultural Rhômbe. Grup de Dones","+34 ","","",NA,"social_facility","woman","Generalitat de Catalunya","2019-03-29",125,"Carrer Escòcia","50",NA,"4",NA,"08016","Barcelona",NA,"0","0"
"52","Asociación de Ayuda a la Mujer La Pizarra de Raimunda","+34 93 308 40 66","lapizarra@telefonica.net","","sororitat i ajuda mútua","social_facility","woman","Generalitat de Catalunya","2019-03-29",242,"Carrer Selva de Mar","215",NA,"6",NA,"08080","Barcelona",NA,"41,416623907","2,198564642"
"53","Asociación de Familias y Mujeres del Medio Rural de Tarragona -  AFAMMER","+34 977719853","infocentre@santabarbara.cat","http://www.afammer.es/delegaciones.html#tema7","món rural","social_facility","woman","Generalitat de Catalunya","2019-03-29",943,"Carrer Doctor Coto","56",NA,NA,NA,"43570","Santa Bàrbara",NA,"0","0"
"54","Asociación de Federaciones y Asociaciones de Empresarias del Mediterráneo, AFAEMME","+34 93 200 58 51","m.maiques@afaemme.org; afaemme@afaemme.org; bftubau@afaemme.org","http://www.afaemme.org/","emprenedoria i direcció d'empreses","social_facility","woman","Generalitat de Catalunya","2019-03-29",233,"Carrer Provença","301",NA,NA,NA,"08037","Barcelona",NA,"0","0"
"55","Asociación de Mujeres  La Granja","+34 656879814","tachinaloba@hotmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",840,"Carrer Gran Canària","37",NA,NA,NA,"43006","Tarragona",NA,"0","0"
"56","Asociación de Mujeres Africanas Musu Kafo","+34 619493791","abojang@ajmataro.cat","","interculturalitat i migració","social_facility","woman","Generalitat de Catalunya","2019-03-29",336,"Carrer Santisidro","18",NA,"4",NA,"08302","Mataró",NA,"0","0"
"57","Asociación de Mujeres Argentinas (A.M.A)","+34 977 200 235","","","interculturalitat i migració","social_facility","woman","Generalitat de Catalunya","2019-03-29",849,"Carrer Bloc Paraguay","Escala A",NA,"5",NA,"43007","Tarragona",NA,"41,1378051","1,2484315"
"58","Asociación de Mujeres Bienvenida","+34 655 252 230","bienvenidas@hotmail.com","","promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",520,"Ctra. de Mataró","59",NA,NA,NA,"08930","Sant Adrià de Besòs",NA,"0","0"
"59","Asociación de Mujeres Bolivianas en Barcelona","+34 677 563 498","terceros-35@hotmail.com","","interculturalitat i migració","social_facility","woman","Generalitat de Catalunya","2019-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Asociación de Mujeres Bolivianas en Catalunya","+34 677 563 498","asoc.mujeresbolivianas@hotmail.com; terceros-35@hotmail.com","http://www.asocmujeresbolivianasencatalunya.es.tl","interculturalitat i migració","social_facility","woman","Generalitat de Catalunya","2019-03-29",123,"Carrer Vilamarí","31",NA,NA,NA,"08015","Barcelona",NA,"41,37638738","2,152457684"
"61","Asociación de Mujeres Chinas en Catalunya","+34 93 460 55 68","1422827588@qq.com","","interculturalitat i migració","social_facility","woman","Generalitat de Catalunya","2019-03-29",95,"Carrer d'Ali Bei","34",NA,"3",NA,"08010","Barcelona",NA,"41,39329477","2,180659751"
"62","Asociación de Mujeres Creativas del Vallès","+34 93 697 82 98","asociacion.amcv@gmail.com","http://www.mujerescreativasdelvalles.blogspot.com/","cultura i arts; lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",258,"Carrer Monturiol","5",NA,"entl",NA,"08191","Rubí",NA,"0","0"
"63","Asociación de Mujeres de Río Norte","+34 93 386 36 49","grupdedonesriunord@gmail.com","","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",506,"Carrer Safareig","1-3",NA,NA,NA,"08921","Santa Coloma de Gramenet",NA,"41,453875853","2,205878981"
"64","Asociación de Mujeres del Río Sur","+34 93 385 03 79","chuesohoyo47@hotmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",502,"Carrer Lluís Companys","9",NA,NA,NA,"08921","Santa Coloma de Gramenet",NA,"0","0"
"65","Asociación de Mujeres Ecuatorianas residentes en España de Terres de l'Ebre","+34 977 50 44 80","dianabezu@yahoo.es","","interculturalitat i migració","social_facility","woman","Generalitat de Catalunya","2019-03-29",935,"Carrer Masia","1",NA,"5",NA,"43520","Roquetes",NA,"40,818411365","0,506392826"
"66","Asociación de Mujeres E'Waiso Ipola","+34 ","remeisipi@gmail.com","","cultura i arts; interculturalitat i migració","social_facility","woman","Generalitat de Catalunya","2019-03-29",33,"Carrer Ripoll","25",NA,NA,NA,"08002","Barcelona",NA,"41,385473794","2,175069845"
"67","Asociación de Mujeres Germanor de la Part Alta","+34 686 153 409","maribel-barrio@hotmail.com","","promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",829,"Carrer Cos del Bou","23",NA,"2",NA,"43003","Tarragona",NA,"41,11637587","1,256656048"
"68","Asociación de Mujeres Inmigradas Sumaq Warmi","+34 600 73 45 46","sipasitay@yahoo.es","","inserció laboral i ocupació; interculturalitat i migració","social_facility","woman","Generalitat de Catalunya","2019-03-29",534,"Carrer Montjuïc","7",NA,"1",NA,"08970","Sant Joan Despí",NA,"0","0"
"69","Asociación de Mujeres Juristas Themis","+34 93 412 71 61","eva@separacionydivorcio.com","http://www.mujeresjuristasthemis.org","jurídic i legal","social_facility","woman","Generalitat de Catalunya","2019-03-29",22,"Carrer de Ripoll","25",NA,NA,NA,"08002","Barcelona",NA,"41,385473794","2,175069845"
"70","Asociación de Mujeres la Paloma, Sta. Coloma de Gramenet","+34 93 392 09 69","","",NA,"social_facility","woman","Generalitat de Catalunya","2019-03-29",512,"Carrer Laredo","10",NA,"1",NA,"08924","Santa Coloma de Gramenet",NA,"41,461778469","2,209566787"
"71","Asociación de Mujeres Latinas Sin Fronteras","+34 93 417 02 73","mujereslatinas@hotmail.es","","interculturalitat i migració","social_facility","woman","Generalitat de Catalunya","2019-03-29",158,"Carrer Elisa","23-25",NA,NA,NA,"08023","Barcelona",NA,"41,405575494","2,140918048"
"72","Asociación de Mujeres Montserratina","+34 93 637 51 72","asdonesmont@gmail.com","","artesania; lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",447,"Plaça Constitución","4",NA,NA,NA,"08840","Viladecans",NA,"0","0"
"73","Asociación de Mujeres Rigoberta Menchú","+34 696852446","","","artesania","social_facility","woman","Generalitat de Catalunya","2019-03-29",548,"Carrer Camp de la Plana","13",NA,NA,NA,"17004","Girona",NA,"41,973015396","2,842096608"
"74","Asociación de Mujeres Trabajadoras","+34 699 019 238","","","interculturalitat i migració","social_facility","woman","Generalitat de Catalunya","2019-03-29",220,"Carrer de Jericó","15",NA,NA,NA,"08035","Barcelona",NA,"41,421063459","2,138225281"
"75","Asociación de Orientación a las Mujeres Inmigrantes (AOMI)","+34 931630442","aomicat@hotmail.com","http://www.aomicat.es/","interculturalitat i migració","social_facility","woman","Generalitat de Catalunya","2019-03-29",189,"Calle Rocafort","242 Bis",NA,"1",NA,"08029","Barcelona",NA,"0","0"
"76","Asociación de Profesionales y Empresarias Colombianas en el Mundo","+34 93 659 30 22","asproemcol@hotmail.com","http://www.asproemcol.entitatsviladecans.org","emprenedoria i direcció d'empreses; interculturalitat i migració","social_facility","woman","Generalitat de Catalunya","2019-03-29",445,"Avinguda Doctor Fleming","6B",NA,"2",NA,"08840","Viladecans",NA,"41,309614412","2,011951797"
"77","Asociación de Vecinos del Barrio La Colina","+34 93 383 39 08","avlacolina@gmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",487,"Plaça Rafael Campanal","s/n",NA,NA,"Centre Cívic","08914","Badalona",NA,"0","0"
"78","Asociación de Vecinos del Polígono Espronceda. Vocalia de la Dona","+34 93 711 83 72","","http://www.avvespronceda.org/index.php?option=com_content&view=section&layout=blog&id=5&Itemid=2","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",267,"Plaça Rogelio Soto","15",NA,NA,NA,"08204","Sabadell",NA,"0","0"
"79","Asociación de Vecinos Grupo de Maresme de Badalona","+34 677 70 78 96","","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",497,"Avinguda Maresme","156-166",NA,NA,NA,"08918","Badalona",NA,"41,435065149","2,226556855"
"80","Asociación de Vecinos Montigalà Batllòria","+34 93 465 74 86","","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",493,"Carrer de la Ciència","15",NA,NA,NA,"08917","Badalona",NA,"41,4581838","2,236054"
"81","Asociación de Veïns i Veïnes El Besòs. Vocalia de la Dona","+34 93 278 18 62","avvbesos@gmail.com","www.avvbesos.com","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",142,"Rambla de Prim","64-72",NA,NA,NA,"08019","Barcelona",NA,"41,427959284","2,197817871"
"82","Asociación Exil, Asociación de Atención Medico-psico-social para Víctimas de Violencia, Tortura y Violación de los Derechos Humanos","+34 93 238 57 60","exilspain@pangea.org","http://www.centroexil.org",NA,"social_facility","woman","Generalitat de Catalunya","2019-03-29",157,"Avinguda República Argentina","6",NA,"4",NA,"08023","Barcelona",NA,"0","0"
"83","Asociación Femenina Actividades Culturales","+34 93 691 21 54","","","promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",325,"Carrer Oreneta","10",NA,NA,NA,"08290","Cerdanyola del Vallès",NA,"0","0"
"84","Asociación Gitana de Mujeres Drom Kotar Mestipen de Barcelona","+34 93 304 30 00","dromkotarmestipen@gmail.com","http://dromkotar.org/es/","interculturalitat i migració","social_facility","woman","Generalitat de Catalunya","2019-03-29",201,"Claramunt","4",NA,NA,NA,"08030","Barcelona",NA,"41,43666459","2,203792197"
"85","Asociación Instituto para la Promoción Social y de la Salud (IPSS)","+34 93 202 16 16","ipss@ipss-online.org","http://www.ipss-online.org","interculturalitat i migració; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",153,"Carrer Laforja","67",NA,"4",NA,"08021","Barcelona",NA,"41,396913096","2,146246938"
"86","Asociación Nacional Mamas y Fitness","+34 ","","http://www.sweetfit.com","esports","social_facility","woman","Generalitat de Catalunya","2019-03-29",259,"Carrer Pedraforca","52",NA,NA,NA,"08191","Rubí",NA,"0","0"
"87","Asociación ODAME (Operación de Detección y Acompañamiento de Mujeres Emprendedoras)","+34 93 496 45 07","asodame@asodame.com","http://www.asodame.com","emprenedoria i direcció d'empreses","social_facility","woman","Generalitat de Catalunya","2019-03-29",121,"Carrer de Viladomat","174",NA,"5",NA,"08015","Barcelona",NA,"41,383530482","2,152393376"
"88","Asociación para la Defensa y Asesoramiento de la Mujer (ADAMUJER)","+34 93 476 64 53","infoadamujer@gmail.com;mery765@hotmail.es","http://adamujer1.webnode.es/","drets humans i cooperació","social_facility","woman","Generalitat de Catalunya","2019-03-29",85,"Carrer d'Aragó","335",NA,"entl",NA,"08009","Barcelona",NA,"41,39652394","2,170402075"
"89","Asociación Previfam","+34 652098419","previfam.girona@gmail.com","http://www.previfam.webs.tl",NA,"social_facility","woman","Generalitat de Catalunya","2019-03-29",546,"Carrer Narcís Blanch","13",NA,"1",NA,"17003","Girona",NA,"0","0"
"90","Asociación Provincial de Mujeres en Igualdad de Barcelona","+34 627 31 75 73","evni@hotmail.com","","promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",71,"Carrer Ronda General Mitre","146",NA,NA,NA,"08006","Barcelona",NA,"41,403460118","2,139138697"
"91","Asociación Temas de Mujer","+34 ","mrgeconomista@yahoo.es","http://www.temasdemujer.org",NA,"social_facility","woman","Generalitat de Catalunya","2019-03-29",63,"Carrer Salvador Espriu","33",NA,"1",NA,"08005","Barcelona",NA,"41,389348109","2,197250511"
