"","name","tipus_de_via","adre_a","addr:postcode","addr:city","contact:phone","contact:email","operator","latitude","longitude","amenity","social_facility:for","source","source:date"
"23","Servei d'informació i atenció a les dones (SIAD) del Pla d'Urgell","Carrer","de Prat de la Riba, 1",25230,"Mollerussa","973711313","areadona@plaurgell.cat","Consell Comarcal del Pla d'Urgell",41.63168,0.89424,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"24","Servei d'informació i atenció a les dones (SIAD) de Barcelona - Eixample","Carrer","Mallorca, 219, 3a",8008,"Barcelona","932562819","piad_eixample@bcn.cat","Ajuntament de Barcelona",41.39129,2.15878,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"25","Servei d'informació i atenció a les dones (SIAD) de L'Hospitalet de Llobregat","Plaça","Can Colom, 1",8902,"L'Hospitalet de Llobregat","934036270","caid@l-h.cat","Ajuntament de L'Hospitalet de Llobregat",41.36947,2.12043,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"26","Servei d'informació i atenció a les dones (SIAD) de Valls","Muralla","del Carme, 24, baixos",43800,"Valls","977608225","pad@valls.cat","Ajuntament de Valls",41.2828,1.24858,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"27","Servei d'informació i atenció a les dones (SIAD) de l'Aran","Carrer","Major, 36",25530,"Vielha e Mijaran","973642560","siah@aransalut.com","Consell General d'Aran",42.70004,0.79379,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"28","Servei d'informació i atenció a les dones (SIAD) de Vilassar de Mar","Carrer","Santa Eulàlia, 40",8340,"Vilassar de Mar","937540500","diad@vilassardemar.cat","Ajuntament de Vilassar de Mar",41.50422,2.38684,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"29","Servei d'informació i atenció a les dones (SIAD) del Prat de Llobregat","Plaça","de l'Agricultura, 4",8820,"El Prat de Llobregat","933790050","siad@elprat.cat","Ajuntament d'El Prat de Llobregat",41.32478,2.0932,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"30","Servei d'informació i atenció a les dones (SIAD) de Barcelona - Sarrià-Sant Gervasi","Carrer","Brusi, 51-61",8006,"Barcelona","932002602","piad_sarriasantgervasi@bcn.cat","Ajuntament de Barcelona",41.40188,2.14451,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"31","Servei d'informació i atenció a les dones (SIAD) de Barcelona - Gràcia","Plaça","Vila de Gràcia, 2",8012,"Barcelona","932914330","piad_gracia@bcn.cat","Ajuntament de Barcelona",41.39993,2.15791,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"32","Servei d'informació i atenció a les dones (SIAD) de l'Alta Ribagorça","Carrer","d'Aigüestortes, 12, baixos",25520,"El Pont de Suert","973690260","dones@ccar.ddl.net","Consell Comarcal de l'Alta Ribagorça",42.4123,0.74075,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"33","Servei d'informació i atenció a les dones (SIAD) la Canonja","Plaça","Catalunya, s/n",43110,"La Canonja","977546100","ssocials@lacanonja.cat","Ajuntament de La Canonja",0,0,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"34","Servei d'informació i atenció a les dones (SIAD) d'Olot-Garrotxa","Plaça","Palau, 8",17800,"Olot","972266644","csans@casg.cat","Consorci Acció Social de la Garrotxa",42.18312,2.49397,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"35","Servei d'informació i atenció a les dones (SIAD) de les Garrigues","Avinguda","de Francesc Macià, 54",25400,"Les Borges Blanques","973142658","siad@garrigues.cat","Consell Comarcal de les Garrigues",41.51327,0.8765,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"36","Servei d'informació i atenció a les dones (SIAD) de la Terra Alta","Carrer","Bassa d'en Gaire, 1",43780,"Gandesa","977420018","siad@terra-alta.org","Consell Comarcal de la Terra Alta",42.43243,1.92884,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"37","Servei d'informació i atenció a les dones (SIAD) de Torredembarra","Carrer","Muralla, 16, baixos",43830,"Torredembarra","977640025","siad@torredembarra.cat","Ajuntament de Torredembarra",41.1444,1.3963,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"38","Servei d'informació i atenció a les dones (SIAD) de l'Alt Urgell","Plaça","de Soldevila, 1, 1a (Centre Cívic del Passeig)",25700,"La Seu d'Urgell","973354102","igualtat@capau.cat","Consell Comarcal de l'Alt Urgell",42.35821,1.46148,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"39","Servei d'Informació i Orientació a les Dones (SIOD) d’Arbúcies","Carrer","Major, 2",17401,"Arbúcies","972860001","siod@ajarbucies.cat","Ajuntament d'Arbúcies",41.8161,2.51385,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"40","Servei d'informació i atenció a les dones (SIAD) de Roses","Plaça","de l'Àngel, 4",17480,"Roses","972252400","benestar@roses.cat","Ajuntament de Roses",42.26318,3.17819,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"41","Oficina d'informació de l'Institut Català de les Dones a les Terres de l'Ebre","Carrer","de Montcada, 23 (Palau Abària)",43500,"Tortosa","977441234","icd.terresebre@gencat.cat","Generalitat de Catalunya",40.813047,0.523474,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"42","Servei d'informació i atenció a les dones (SIAD) de Manlleu","Carrer","Enric Delaris, 7",8560,"Manlleu","938510848","siad@manlleu.cat","Ajuntament de Manlleu",42.00014,2.28332,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"43","Servei d'informació i atenció a les dones (SIAD) de Cervelló","Plaça","del Mestre, 5, B",8758,"Cervelló","936841981","cird.donescervello@hotmail.es","Ajuntament de Cervelló",41.39736,1.95902,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"44","Servei d'informació i atenció a les dones (SIAD) de Barcelona - les Corts","Carrer","Dolors Masferrer, 33-35",8028,"Barcelona","932916491","piad_lescorts@bcn.cat","Ajuntament de Barcelona",41.38483,2.12842,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"45","Servei d'informació i atenció a les dones (SIAD) de l'Alt Empordà","Carrer","Nou, 48",17600,"Figueres","972677050","siad@altemporda.org","Consell Comarcal de l'Alt Empordà",42.26484,2.96358,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"46","Servei d'informació i atenció a les dones (SIAD) de la Segarra","Passeig","de Jaume Balmes, 3",25200,"Cervera","973531300","siad@ccsegarra.cat","Consell Comarcal de la Segarra",41.67107,1.27507,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"47","Servei d'informació i atenció a les dones (SIAD) de l'Alt Camp","Carrer","Mossèn Martí, 3",43800,"Valls","977604258","benestarsocial@altcamp.cat","Consell Comarcal de l'Alt Camp",41.2886,1.24979,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"48","Servei d'informació i atenció a les dones (SIAD) de Montcada i Reixac","Carrer","Major, 32 MIR (Casa de la Vila)",8110,"Montcada i Reixac","935651122","oficinadona@montcada.org","Ajuntament de Montcada i Reixac",41.48558,2.18792,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"49","Servei d'informació i atenció a les dones (SIAD) de Granollers","Carrer","Portalet, 4, 4a planta",8401,"Granollers","938426714","plaigualtat@ajuntament.granollers.cat","Ajuntament de Granollers",41.60757,2.28746,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"50","Servei d'informació i atenció a les dones (SIAD) de Sant Adrià del Besòs","Carrer","Escoles, 10, baixos",8930,"Sant Adrià de Besòs","934621121","ciod@sant-adria.net","Ajuntament de Sant Adrià del Besòs",41.42998,2.22098,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"51","Servei d'informació i atenció a les dones (SIAD) de Viladecans","Avinguda","del Mil·lenari, 18",8840,"Viladecans","936373322","siad@viladecans.cat","Ajuntament de Viladecans",41.30996,2.00768,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"52","Servei d'informació i atenció a les dones (SIAD) de Sant Quirze del Vallès","Avinguda","del Vallès 97-99 baixos (Edifici Can Tuset)",8192,"Sant Quirze del Vallès","937216800","sumemxlaigualtat@santquirzevalles.cat","Ajuntament de Sant Quirze del Vallès",41.54305,2.03938,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"53","Servei d'informació i atenció a les dones (SIAD) de Tremp","Plaça","de la Creu, 1",25620,"Tremp","973650005","benestar@ajuntamentdetremp.cat","Ajuntament de Tremp",42.16671,0.89579,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"54","Servei d'informació i atenció a les dones (SIAD) de Barcelona - Sant Andreu","Carrer","Foradada, 36",8033,"Barcelona","933457016","piad_santandreu@bcn.cat","Ajuntament de Barcelona",41.45162,2.19119,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"55","Servei d'informació i atenció a les dones (SIAD) del Baix Ebre","Carrer","Barcelona, 152",43500,"Tortosa","977445308","siad@baixebre.cat","Consell Comarcal del Baix Ebre",40.7949,0.52375,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"56","Servei d'informació i atenció a les dones (SIAD) d'Esparreguera","Carrer","dels Arbres, 21, despatx 1r pis",8292,"Esparreguera","677 500 229","dona@esparreguera.cat","Ajuntament d'Esparreguera",41.5395,1.86826,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"57","Servei d'informació i atenció a les dones (SIAD) de Sitges","Carrer","Joan Maragall, 36 (Edifici Escorxador)",8870,"Sitges","938113180","igualtat@sitges","Ajuntament de Sitges",41.2373,1.81566,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"58","Servei d'informació i atenció a les dones (SIAD) de la Conca de Barberà","Carrer","Sant Josep, 18",43400,"Montblanc","977861232","siad@concadebarbera.cat","Consell Comarcal de la Conca de Barberà",41.37703,1.16283,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"59","Servei d'informació i atenció a les dones (SIAD) del Gironès","Riera","del mus, 1-A",17003,"Girona","972201962","siad@girones.cat","Consell Comarcal del Gironès",41.96307,2.8149,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"60","Servei d'informació i atenció a les dones (SIAD) de l'Anoia","Plaça","de Sant Miquel, 5",8700,"Igualada","938051585","igualtat@anoia.cat","Consell Comarcal de l'Anoia",41.57801,1.61784,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"61","Servei d'informació i atenció a les dones (SIAD) de Tortosa","Plaça","dels Dolors, 1",43500,"Tortosa","977445897","siad.coordinacio@tortosa.cat","Ajuntament de Tortosa",40.81321,0.52362,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"62","Servei d'informació i atenció a les dones (SIAD) de Molins de Rei","Carrer","Verdaguer, 95, bis (Ca n'Ametller)",8750,"Molins de Rei","936803731","eplu@molinsderei.cat","Ajuntament de Molins de Rei",41.41518,2.01577,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"63","Servei d'informació i atenció a les dones (SIAD) de la Selva","Carrer","del Prat, 1, 1r",17430,"Santa Coloma de Farners","872973003","siad@selva.cat","Consell Comarcal de la Selva",41.8645,2.66243,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"64","Servei d'informació i atenció a les dones (SIAD) de Llinars del Vallès","Carrer","Mas Bagà, 24",8450,"Llinars del Vallès","938413842","puntdona@llinarsdelvalles.cat","Ajuntament de Llinars del Vallès",41.64018,2.40511,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"65","Servei d'informació i atenció a les dones (SIAD) del Bages","Muralla","Sant Domènec, 24",8241,"Manresa","936930363","dona@ccbages.cat","Consell Comarcal del Bages",182187,1.82187,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"66","Servei d'informació i atenció a les dones (SIAD) de Lloret de Mar","Plaça","Pere Torrent, s/n",17310,"Lloret de Mar","972347172","dones@lloret.cat","Ajuntament de Lloret de Mar",192883,42.43243,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"67","Servei d'informació i atenció a les dones (SIAD) del Baix Camp","Carrer","Doctor Ferran, 8",43202,"Reus","977327155","siad@baixcamp.cat","Consell Comarcal del Baix Camp",41.15444,1.10132,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"68","Oficina d'informació de l'Institut Català de les Dones a Girona","Plaça","de Pompeu Fabra, 1",17002,"Girona","872975874","icd.girona@gencat.cat","Generalitat de Catalunya",41.981169,2.822654,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"69","Servei d'informació i atenció a les dones (SIAD) de Sant Cugat del Vallès","Avinguda","de Gràcia, 59 (Casa Mònaco)",8172,"Sant Cugat del Vallès","935657000","donainformacio@santcugat.cat","Ajuntament de Sant Cugat del Vallès",41.46468,2.086,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"70","Servei d'informació i atenció a les dones (SIAD) de Santa Perpètua de la Mogoda","Plaça","Can Folguera, s/n",8130,"Santa Perpètua de Mogoda","935604205","rodriguezra@staperpetua.cat","Ajuntament de Santa Perpètua de la Mogoda",41.53231,2.18532,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"71","Servei d'informació i atenció a les dones (SIAD) del Vallès Oriental","Carrer","Miquel Ricomà, 46",8401,"Granollers","938600706","ramonedasa@vallesoriental.cat","Consell Comarcal del Vallès Oriental",41.60603,2.2862,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"72","Servei d'informació i atenció a les dones (SIAD) de Barcelona - Nou Barris","Plaça","Major de Nou Barris, 1",8042,"Barcelona","932916867","piad_noubarris@bcn.cat","Ajuntament de Barcelona",41.43692,2.1712,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"73","Servei d'informació i atenció a les dones (SIAD) de Sant Boi de Llobregat","Carrer","Ebre, 27 (Can Jordana)",8830,"Sant Boi de Llobregat","936351200","crdones@santboi.cat","Ajuntament de Sant Boi de Llobregat",41.348,2.0383,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"74","Servei d'informació i atenció a les dones (SIAD) del Baix Llobregat","Carretera","Nacional - 340",8980,"Sant Feliu de Llobregat","936852400","conselldones@elbaixllobregat.cat","Consell Comarcal del Baix Llobregat",41.38607,2.04027,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"75","Servei d'informació i atenció a les dones (SIAD) de Sant Celoni","Carrer","Josep Alfaràs, 6",8470,"Sant Celoni","938641210","igualtat@santceloni.cat","Ajuntament de Sant Celoni",41.69144,2.49493,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"76","Servei d'informació i atenció a les dones (SIAD) de Barcelona - Ciutat Vella","Carrer","Nou de la Rambla, 45, 4t",8001,"Barcelona","932563221","piad_ciutatvella@bcn.cat","Ajuntament de Barcelona",41.37749,2.17268,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"77","Servei d'informació i atenció a les dones (SIAD) de Palafrugell","Carrer","Pals, 77",17200,"Palafrugell","972611879","espaidona@palafrugell.net","Ajuntament de Palafrugell",41.92097,3.16241,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"78","Servei d'informació i atenció a les dones (SIAD) de Matadepera","Plaça","de l'Ajuntament, 2",8230,"Matadepera","937301771","benestarsocial@matadepera.cat","Ajuntament de Matadepera",41.59715,2.026,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"79","Servei d'informació i atenció a les dones (SIAD) de Santa Coloma de Gramenet","Plaça","Montserrat Roig, 1",8921,"Santa Coloma de Gramenet","934661411","bellvehiog@gramenet.cat","Ajuntament de Santa Coloma de Gramenet",41.45377,2.2055,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"80","Servei d'informació i atenció a les dones (SIAD) de Martorell","Carrer","Francesc Santacana, 13 (Casa de Cultura de la Vila)",8760,"Martorell","937735193","serveissocials@martorell.cat","Ajuntament de Martorell",41.47431,1.92841,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"81","Servei d'informació i atenció a les dones (SIAD) de Vilanova i la Geltrú","Plaça","de la Vila, 8",8800,"Vilanova i la Geltrú","938169002","equitat@vilanova.cat","Ajuntament de Vilanova i la Geltrú",41.22408,1.72594,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"82","Servei d'informació i atenció a les dones (SIAD) de Pineda de Mar","Carrer","Barcelona, 33-35, entresòl",8397,"Pineda de Mar","937671843","cvalbonesi@pinedademar.org","Ajuntament de Pineda de Mar",41.624,2.68823,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"83","Servei d'informació i atenció a les dones (SIAD) del Solsonès","Carrer","dels Dominics, 14",25280,"Solsona","973483234","atenciodona@solsones.ddl.net","Consell Comarcal del Solsonès",41.99582,1.51909,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"84","Servei d'informació i atenció a les dones (SIAD) de Tarragona","Plaça","de la Font , 1",43003,"Tarragona","977296279","siad@tarragona.cat","Ajuntament de Tarragona",41.11436,1.25578,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"85","Servei d'informació i atenció a les dones (SIAD) del Segrià","Carrer","del Canyeret, s/n",25007,"Lleida","973054800","siad@segria.cat","Consell Comarcal del Segrià",41.61637,0.62704,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"86","Servei d'informació i atenció a les dones (SIAD) d'Igualada","Avinguda","de la Pietat, 42-44 (Centre Cívic Fàtima)",8700,"Igualada","938031950","ead.siad@dae.cat","Ajuntament d'Igualada",41.58597,1.60502,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"87","Servei d'informació i atenció a les dones (SIAD) de Corbera de Llobregat","Plaça","Sant Antoni, s/n (Àrea d'Igualtat de l'Ajuntament )",8757,"Corbera de Llobregat","935175878","conselldones@elbaixllobregat.cat","Ajuntament de Corbera de Llobregat",41.41465,1.93004,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"88","Servei d'informació i atenció a les dones (SIAD) de la Llagosta","Carrer","Jaume I, 9 (Centre Cultural i Juvenil Can Pelegrí)",8120,"La Llagosta","935451540","igualtat@llagosta.cat","Ajuntament de la Llagosta",41.5126,2.1914,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"89","Servei d'informació i atenció a les dones (SIAD) del Montsià","Carrer","Jaume I, 2-4",43870,"Amposta","977707496","siad@montsia.cat","Consell Comarcal del Montsià",40.71257,0.58284,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"90","Servei d'informació i atenció a les dones (SIAD) de Cambrils","Plaça","de l'Ajuntament, 4",43850,"Cambrils","977794579 ext. 4311/2226","siad@cambrils.org","Ajuntament de Cambrils",41.07132,1.05809,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"91","Servei d'informació i atenció a les dones (SIAD) de la Cerdanya","Carrer","d'Alfons I, 50-52, baixos",17520,"Puigcerdà","972141313","siad@cerdanya.org","Consell Comarcal de la Cerdanya",42.43382,1.9293,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"92","Servei d'informació i atenció a les dones (SIAD) de Barcelona - Sant Martí","Gran Via","Corts Catalanes, 837",8018,"Barcelona","933077260","piad_santmarti@bcn.cat","Ajuntament de Barcelona",41.40523,2.18821,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"93","Servei d'informació i atenció a les dones (SIAD) del Baix Penedès","Plaça","Pep Jai, 2, baixos",43700,"El Vendrell","977157177","ssespecialitzats@baixpenedes.cat","Consell Comarcal del Baix Penedès",41.22292,1.53482,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"94","Servei d'informació i atenció a les dones (SIAD) del Garraf","Plaça","de Beatriu de Claramunt, 5-8",8800,"Vilanova i la Geltrú","938100410","siad@ccgarraf.cat","Consell Comarcal del Garraf",41.22305,1.71411,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"95","Oficina d'informació de l'Institut Català de les Dones a Tarragona","Carrer","de Sant Francesc, 3",43003,"Tarragona","977241304","icd.tarragona@gencat.cat","Generalitat de Catalunya",41.116657,1.253299,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"96","Servei d'informació i atenció a les dones (SIAD) de Lleida","Plaça","dels Fanalets de Sant Jaume, s/n",25002,"Lleida","973700461","politiquesigualtat@paeria.cat","Ajuntament de Lleida",41.61399,0.62376,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"97","Servei d'informació i atenció a les dones (SIAD) de Terrassa","Carrer","Nou de Sant Pere, 36",8221,"Terrassa","937397408","polgenere@terrassa.cat","Ajuntament de Terrassa",41.56537,2.01374,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"98","Servei d'informació i atenció a les dones (SIAD) de Salou","Carrer","de l'Ebre, 11",43840,"Salou","977309206","siadones@salou.cat","Ajuntament de Salou",41.08105,1.13316,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"99","Servei d'informació i atenció a les dones (SIAD) de Girona","Carrer","Joan Reglà, 16, baixos",17003,"Girona","972222478","siad@ajgirona.org","Ajuntament de Girona",41.97125,2.8229,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"100","Servei d'informació i atenció a les dones (SIAD) de Mataró","Carrer","Tres Roques, 21",8304,"Mataró","937022812","dona@ajmataro.cat","Ajuntament de Mataró",41.54332,2.42807,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
"101","Servei d'informació i atenció a les dones (SIAD) de Barcelona - Horta-Guinardó","Carrer","Arenys, 75",8035,"Barcelona","934200008","piad_horta@bcn.cat","Ajuntament de Barcelona",41.42253,2.14464,"social_facility","woman","Generalitat de Catalunya","2018-05-03"
