;name;addr:postcode;addr:city;addr:full;addr:street;addr:housenumber;addr:housename;addr:floor;contact:phone;contact:email;latitude;longitude;network:type;amenity;social_facility:for;source;source:date
14;SAI Lloret de Mar (local);17310;Lloret de Mar;Plaça Pere Torrent. Biblioteca municipal 1er pis;Plaça Pere Torrent. Biblioteca municipal 1er pis;;Biblioteca Municipal;1;+34 972 347172;igualtat@lloret.cat;41,6999;2,84398;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
15;SAI Reus (local);43203;Reus;Plaça Patacada,9;Plaça Patacada;9;;;+34 977 010672;pads@reus.cat;41,154501739;1,105027474;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
16;SAI Terres de l'Ebre (Departamental);43870;Amposta;Carrer de Ramon Salas,33;Carrer de Ramon Salas;33;;;+34 977 594053;ezzahra.ait@gencat.cat;40,712328473;0,575405606;Departamental;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
17;Barcelona - comarques (Departamental);08004;Barcelona;Carrer Albareda,2-4;Carrer Albareda;2-4;;;+34 935 544246;ramon.centellas@gencat.cat;41,373678719;2,174350972;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
18;SAI - LGBTI Comarcal del Pallars Jussà;25260;Tremp;Carrer Peressall,5;Carrer Peressall;5;;;+34 973 654818;rcolomina@pallarsjussa.cat;42,16692;0,89526;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
19;Consell Comarcal del Baix Camp;43202;Reus;Carrer Dr. Ferran,8;Carrer Dr. Ferran;8;;;+34 977 327155 (ext 264);sai@baixcamp.cat;41,154830009;1,101619974;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
20;Consell Comarcal del Solsonès;25280;Solsona;Carrer Domínics,12;Carrer Domínics;12;;;"+34 973 482003; +34 973 483234";consell@elsolsones.cat;41,995490012;1,519259992;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
21;SAI Lleida (Departamental);25007;Lleida;Avinguda del Segre,5;Avinguda del Segre;5;;;+34 973 703679;rcairol@gencat.cat;41,616509126;0,631029694;Departamental;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
22;SAI Sant Cugat del Vallès (local);08172;Sant Cugat del Vallès;Casa Mónaco.Avinguda de Gràcia,50;Avinguda de Gràcia;50;Casa Mónaco;;+34 935 657000;sailgbti@santcugat.cat;41,46617999;2,085459949;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
23;SAI de Calafell (local);43820;Calafell;Plaça Constitució,5;Plaça Constitució;5;;;+34 977 699009 (ext 773);spedret@calafell.org;41,201490045;1,569470006;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
24;SAI Vilanova i la Geltrú (local);08800;Vilanova i la Geltrú;Plaça de la Vila,8;Plaça de la Vila;8;;;+34 938 140000 (ext 3283);equitat@vilanova.cat;41,224090908;1,725938303;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
25;SAI Esplugues de Llobregat (local);08950;Esplugues de Llobregat;Carrer Àngel Guimerà,34;Carrer Àngel Guimerà;34;;;+34 900 300082;servei.lgbti@esplugues.cat;41,377319994;2,084919987;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
26;SAI Tarragona (local);43005;Tarragona;Plaça Imperial Tarraco,1;Plaça Imperial Tarraco;1;;;;sai@tarragona.cat;41,119280643;1,246232109;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
27;SAI d'Amposta (local);43870;Amposta;Sant Roc, 8-14;Sant Roc;8-14;;;+34 977 702456;gferre@amposta.cat;40,712810023;0,58109995;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
28;SAI Sant Boi de Llobregat (local);08830;Sant Boi de Llobregat;Carrer Ebre,27;Carrer Ebre;27;;;+34 936 351200 (ext 156-436-409);lgtb@santboi.cat;41,347980022;2,038320046;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
29;SAI Sant Feliu de Guíxols (local);17220;Sant Feliu de Guíxols;Plaça Salvador Espriu. Centre Cívic de Vilartagues;Plaça Salvador Espriu;;Centre Cívic de Vilartagues;;+34 972 820101;lgbti@guixols.cat;41,791949979;3,024529997;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
30;SAI Torelló (local);08570;Torelló;Carrer Enric Prat de la Riba,17;Carrer Enric Prat de la Riba;17;;;"+34 938 594272; +34 938 593612";saitorello@ajtorello.cat;42,04865201;2,264947305;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
31;Consell Comarcal del Baix Empordà;17100;La Bisbal d'Empordà;Carrer dels Tarongers,12;Carrer dels Tarongers;12;;;"+34 972 642310; +34 972 645543";sai@baixemporda.cat;41,95861999;3,039219992;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
32;Consell Comarcal del Bages;08241;Manresa;Carrer Muralla de St. Domènec,24;Carrer Muralla de St. Domènec;24;;;+34 936 930363;sai@ccbages.cat;41,724639959;1,821800017;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
33;SAI Terrassa (local);08223;Terrassa;Edifici Glòries. Carretera de Montcada,596;Edifici Glòries. Carretera de Montcada;596;;;"+34 937 315982; +34 937 397000";atencioLGTBIQ@terrassa.cat;41,55877999;2,028110059;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
34;Consell Comarcal del Tarragonès;43003;Tarragona;Carrer Les Coques,3;Carrer Les Coques;3;;;+34 977 244500;siad@tarragones.cat;41,11904;1,25865;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
35;Consell Comarcal de la Cerdanya. Servei d'Atenció Integral per a persones LGBTI;17520;Puigcerdà;Carrer Alfons I,50-52;Carrer Alfons I;50-52;;;+34 972 141313;siad@cerdanya.org;42,433889969;1,929310016;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
36;SAI El Prat de Llobregat (local);08820;El Prat de Llobregat;Plaça de l'Agricultura,4;Plaça de l'Agricultura;4;;;+34 933 790050 (ext 5600);siad@elprat.cat;41,324780042;2,093289956;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
37;Consell Comarcal del Pla d'Urgell;25230;Mollerussa;Carrer Prat de la Riba,1;Carrer Prat de la Riba;1;;;+34 973 711313;mateu@plaurgell.cat;41,63178;0,89435;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
38;Consell Comarcal Osona;08500;Vic;Carrer de la Llotja,1;Carrer de la Llotja;1;;;+34 937 027284;siadosona@ccosona.cat;41,92630928;2,246835724;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
39;Consell Comarcal del Berguedà;08600;Berga;Carrer Barcelona,49;Carrer Barcelona;49;;;+34 938 213553;nmariano@ccbergueda.cat;42,099189965;1,847060027;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
40;Servei d'Atenció Integral del Pallars Sobirà (comarcal);25560;Sort;Carrer del Mig,9;Carrer del Mig;9;;;+34 973 620107;sai@pallarssobira.cat;42,411769959;1,130249965;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
41;Consell Comarcal de la Noguera;25600;Balaguer;Passeig Àngel Guimerà,28;Passeig Àngel Guimerà;28;;;+34 973 448933;sai@ccnoguera.cat;41,785803594;0,804412657;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
42;Consell Comarcal del Baix Llobregat;08980;Sant Feliu de Llobregat;Parc Torreblanca,s/n;Parc Torreblanca;s/n;;;+34 936 852400;sai@elbaixllobregat.cat;41,379280039;2,056580042;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
43;SAI Valls (local);43800;Valls;Carretera del Pla,37;Carretera del Pla;37;;;+34 977 614040;mgutierrez@valls.cat;41,296949986;1,257399965;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
44;Consell Comarcal de l'Alt Urgell;27500;La Seu d'Urgell;Centre Cívic El Passeig. Plaça Soldevila;Plaça Soldevila;;Centre Cívic El Passeig;;+34 973 354102;igualtat@capau.cat;42,35518997;1,461049979;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
45;Consell Comarcal de l'Alt Penedès;08720;Vilafranca del Penedès;Carrer Hermenegild Clascar,1-3;Carrer Hermenegild Clascar;1-3;;;+34 938 900000;igualtat@ccapenedes.cat;41,34608;1,696080008;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
46;SAI Girona (Departamental);17002;Girona;Plaça de Pompeu Fabra,1;Plaça de Pompeu Fabra;1;;;+34 872 975958;jbosch@gencat.cat;41,981071059;2,822207288;Departamental;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
47;SAI Sabadell (local);08208;Sabadell;Carrer de Vidal,146;Carrer de Vidal;146;;;"+34 937 246167; +34 937 246168";genere@ajsabadell.cat;41,554079961;2,112450038;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
48;Consell Comarcal de l'Alta Ribagorça;25520;El Pont de Suert;Carrer Aigüestortes,10;Carrer Aigüestortes;10;;;+34 973 691264;sai@ccar.ddl.net;42,41244998;0,740820006;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
49;SAI Tàrrega (local);25300;Tàrrega;Plaça Constitució,5;Plaça Constitució;5;;;+34 973 311608;ajuntament@tarrega.cat;41,646330015;1,139099949;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
50;SAI Tarragona (Departamental);43002;Tarragona;Avinguda d'Andorra,7bis local 3;Avinguda d'Andorra;7bis;;;+34 977 241935;sai@tarragona.cat;41,120784081;1,244742126;Departamental;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
51;SAI Palafrugell (local);17200;Palafrugell;Carrer de Pals,77;Carrer de Pals;77;;;+34 972 611879;espaidona@palafrugell.cat;41,920950047;3,162400038;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
52;Consell Comarcal del Baix Penedès;43700;El Vendrell;Carrer Andreu Nin, 1-3;Carrer Andreu Nin;1-3;;;+34 977 157177;igualtat.diversitat@baixpenedes.cat;41,22243;1,53473;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
53;SAI Manresa (local);08241;Manresa;Carrer de la Canal,6;Carrer de la Canal;6;;;+34 938 752310;sai@ajmanresa.cat;41,724429995;1,825519948;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
54;SAI de Blanes (local);17300;Blanes;Plaça Argentina,5;Plaça Argentina;5;;;+34 972 336207;ltejada@blanes.cat;41,667610034;2,784299986;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
55;SAI Lleida (local);25005;Lleida;Avinguda Tortosa,2;Avinguda Tortosa;2;;;+34 973 700457;dretscivils@paeria.es;41,6191;0,63667;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
56;Consell Comarcal de la Selva;17430;Santa Coloma de Farners;Carrer del Prat,1;Carrer del Prat;1;;;+34 872 973003;sai@selva.cat;41,864470024;2,66277999;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
57;Consell Comarcal del Ripollès;17500;Ripoll;Carrer del Progrés,22;Carrer del Progrés;22;;;+34 972 715839;lgtb@ripolles.cat;42,197769995;2,194469978;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
58;SAI Vilafranca del Penedès (local);08720;Vilafranca del Penedès;Plaça Penedès,3;Plaça Penedès;3;;;+34 938 920358 (ext 3283);emillas@vilafranca.org;41,343939163;1,699273634;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
59;Consell Comarcal de Les Garrigues;25400;Les Borges Blanques;Av. Francesc Macià,54;Av. Francesc Macià;54;;;+34 973 142658 (ext 217);siad@garrigues.cat;41,513200033;0,876720036;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
60;Consell Comarcal del Pla de l'Estany;17820;Banyoles;Carrer Pere Alsius,12;Carrer Pere Alsius;12;;;+34 972 580388;sai@plaestany.cat;42,115879967;2,764309961;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
61;SAI Tortosa (local);43500;Tortosa;Carrer Enric Bayerri,2-4;Carrer Enric Bayerri;2-4;;;+34 977 585810;bso.tortosa@tortosa.cat;40,810700008;0,520940023;Local;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
62;Consell Comarcal de la Terra Alta;43780;Gandesa;Carrer Povet de la Plana,4;Carrer Povet de la Plana;4;;;+34 977 421659;sai@terra-alta.cat;41,051529973;0,442819994;Comarcal;social_facility;LGBTI;Generalitat de Catalunya;2019-01-21
